epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.596641,1.544182,0.564251,0.716142,1.664688,1.656123,4.065778,0.449100,0.500000,0.518062,0.500000,0.049634,0.051461,0.461738,0.464162,0.535838,-0.074100,0.493421,val_gen_auc_avg,0.449100,9.999726e-05
20,0.925863,0.484114,0.404320,0.495727,0.893332,0.912974,3.591762,0.469529,0.500000,0.511900,0.500000,0.084456,0.080118,0.490824,0.505713,0.497922,-0.014889,0.513158,val_gen_auc_avg,0.469529,9.890738e-05
40,0.768965,0.439760,0.345465,0.422844,0.836134,0.840167,3.018997,0.644910,0.500000,0.663463,0.500000,0.078082,0.080690,0.497230,0.453947,0.374654,0.043283,0.506579,val_gen_auc_avg,0.644910,9.567727e-05
60,0.699579,0.263302,0.334808,0.300449,0.803841,0.806838,2.718749,0.737188,0.500000,0.789078,0.500000,0.093714,0.064356,0.478186,0.463296,0.475762,0.002424,0.473684,val_gen_auc_avg,0.737188,9.045085e-05
80,0.694554,0.131137,0.312959,0.143675,0.663463,0.660083,2.372052,0.826870,0.526316,0.822884,0.500000,0.106148,0.072823,0.682825,0.516794,0.489958,0.166032,0.578947,val_gen_auc_avg,0.826870,8.345653e-05
100,0.655191,0.201382,0.282147,0.078887,0.751983,0.735562,2.070824,0.775796,0.546053,0.829894,0.500000,0.104009,0.066314,0.703082,0.467278,0.538954,0.164127,0.565789,val_gen_auc_avg,0.775796,7.500000e-05
120,0.707847,0.149044,0.279195,0.168733,0.576728,0.621589,1.822423,0.773373,0.585526,0.831025,0.518797,0.122611,0.072455,0.752597,0.447888,0.513850,0.238747,0.592105,val_gen_auc_avg,0.773373,6.545085e-05
140,0.710089,0.068323,0.261237,0.055690,0.751057,0.718450,1.641557,0.742382,0.611842,0.819605,0.548872,0.149525,0.085798,0.697022,0.529259,0.533241,0.163781,0.552632,val_gen_auc_avg,0.742382,5.522642e-05
160,0.561487,0.098991,0.258088,0.060116,0.630215,0.664545,1.396521,0.758310,0.677632,0.835434,0.578947,0.118513,0.092416,0.773892,0.537916,0.492036,0.235976,0.611842,val_gen_auc_avg,0.758310,4.477358e-05
180,0.610576,0.126780,0.261937,0.109705,0.606176,0.657915,1.328474,0.718663,0.644737,0.813670,0.665414,0.126473,0.098812,0.733380,0.501904,0.522853,0.210526,0.644737,val_gen_auc_avg,0.718663,3.454915e-05
200,0.690248,0.050346,0.263142,0.034405,0.823579,0.731750,1.255217,0.751558,0.684211,0.848889,0.714286,0.109047,0.092733,0.756406,0.443040,0.580506,0.175900,0.631579,val_gen_auc_avg,0.751558,2.500000e-05
220,0.689040,0.060900,0.245694,0.017031,0.729897,0.627934,1.212621,0.749654,0.730263,0.841992,0.759398,0.097672,0.089009,0.726627,0.478359,0.529259,0.197368,0.598684,val_gen_auc_avg,0.749654,1.654347e-05
240,0.693957,0.066451,0.249323,0.026234,0.752252,0.558717,1.158735,0.734765,0.723684,0.844706,0.781955,0.086659,0.080730,0.807133,0.490305,0.452216,0.316828,0.684211,val_gen_auc_avg,0.734765,9.549150e-06
260,0.660790,0.052239,0.240090,0.022210,0.606192,0.727594,1.139002,0.750000,0.736842,0.828368,0.793233,0.095026,0.080586,0.721434,0.366343,0.532375,0.189058,0.625000,val_gen_auc_avg,0.750000,4.322727e-06
280,0.664960,0.116516,0.256668,0.101812,0.712576,0.799207,1.124144,0.735803,0.723684,0.849794,0.793233,0.094603,0.082857,0.758137,0.511600,0.594875,0.163262,0.664474,val_gen_auc_avg,0.735803,1.092620e-06
300,0.647462,0.059556,0.244907,0.031942,0.818014,0.654525,1.103123,0.739785,0.730263,0.848437,0.778195,0.091881,0.080727,0.717798,0.522334,0.511600,0.195464,0.546053,val_gen_auc_avg,0.739785,0.000000e+00
