epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.582472,1.967492,0.620764,0.686647,1.640500,1.627619,4.091943,0.526662,0.500000,0.456894,0.500000,0.038174,0.037819,0.510215,0.479744,0.417590,0.030471,0.500000,val_gen_auc_avg,0.526662,9.999726e-05
20,0.927327,0.588148,0.389048,0.538287,0.915600,0.910228,3.605052,0.574100,0.500000,0.536152,0.500000,0.070001,0.075771,0.512639,0.477666,0.525104,-0.012465,0.500000,val_gen_auc_avg,0.574100,9.890738e-05
40,0.716414,0.416919,0.367452,0.406062,0.688763,0.662571,2.675451,0.611842,0.500000,0.578495,0.500000,0.052043,0.049112,0.574446,0.569425,0.480090,0.005021,0.506579,val_gen_auc_avg,0.611842,9.567727e-05
60,0.648927,0.228984,0.331143,0.287823,0.720645,0.692823,2.400575,0.543283,0.506579,0.631749,0.500000,0.125091,0.127629,0.521468,0.540339,0.480609,-0.018871,0.473684,val_gen_auc_avg,0.543283,9.045085e-05
80,0.627417,0.369598,0.294546,0.313986,0.678795,0.713918,2.227773,0.718144,0.546053,0.754424,0.567669,0.213095,0.193222,0.608553,0.426073,0.452216,0.156337,0.513158,val_gen_auc_avg,0.718144,8.345653e-05
100,0.632112,0.119219,0.302055,0.063552,0.739910,0.728190,1.946706,0.808345,0.723684,0.838374,0.725564,0.207969,0.195924,0.691309,0.480609,0.505194,0.186115,0.552632,val_gen_auc_avg,0.808345,7.500000e-05
120,0.672328,0.097810,0.274184,0.091964,0.629791,0.659080,1.688797,0.767313,0.684211,0.803041,0.714286,0.184162,0.185217,0.758657,0.414301,0.448061,0.310596,0.605263,val_gen_auc_avg,0.767313,6.545085e-05
140,0.650028,0.063088,0.274305,0.071436,0.668903,0.659039,1.472608,0.753289,0.717105,0.830460,0.766917,0.152507,0.168963,0.751212,0.458102,0.572022,0.179190,0.592105,val_gen_auc_avg,0.753289,5.522642e-05
160,0.610003,0.067812,0.280185,0.018137,0.642424,0.617154,1.315742,0.752251,0.736842,0.824354,0.785714,0.155069,0.154351,0.715547,0.487361,0.426247,0.228186,0.578947,val_gen_auc_avg,0.752251,4.477358e-05
180,0.613902,0.232633,0.258654,0.189860,0.594234,0.683374,1.178237,0.687500,0.684211,0.831647,0.778195,0.146600,0.145455,0.760734,0.533068,0.565963,0.194771,0.605263,val_gen_auc_avg,0.687500,3.454915e-05
200,0.629645,0.083270,0.253668,0.063164,0.606953,0.687572,1.089632,0.700312,0.736842,0.806773,0.770677,0.141717,0.142026,0.753809,0.529605,0.576004,0.177805,0.578947,val_gen_auc_avg,0.700312,2.500000e-05
220,0.611628,0.065077,0.259140,0.023256,0.685909,0.617393,1.053108,0.752424,0.723684,0.806038,0.763158,0.141728,0.126556,0.774411,0.567175,0.496364,0.207237,0.605263,val_gen_auc_avg,0.752424,1.654347e-05
240,0.600569,0.129230,0.243625,0.036204,0.627407,0.576680,0.999184,0.737535,0.703947,0.809147,0.740602,0.136792,0.118541,0.768352,0.525623,0.463816,0.242729,0.585526,val_gen_auc_avg,0.737535,9.549150e-06
260,0.636773,0.045257,0.243308,0.023902,0.677437,0.633364,0.975846,0.725416,0.690789,0.791848,0.718045,0.151428,0.130641,0.734591,0.490997,0.447715,0.243594,0.578947,val_gen_auc_avg,0.725416,4.322727e-06
280,0.652234,0.057989,0.255798,0.019506,0.761768,0.672077,0.946458,0.738747,0.651316,0.793714,0.680451,0.143801,0.129286,0.684730,0.481302,0.542763,0.141967,0.513158,val_gen_auc_avg,0.738747,1.092620e-06
300,0.600156,0.050812,0.249506,0.006311,0.750537,0.789867,0.924438,0.754155,0.697368,0.812426,0.718045,0.156294,0.138405,0.714162,0.527355,0.519217,0.186807,0.539474,val_gen_auc_avg,0.754155,0.000000e+00
