epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.590419,0.4375,0.8554,0.5000,0.5408,9.972609e-05
2,0.348806,0.4375,0.8783,0.5000,0.6073,9.890738e-05
3,0.243109,0.4375,0.8607,0.5000,0.5496,9.755283e-05
4,0.129872,0.4375,0.8977,0.5000,0.5401,9.567727e-05
5,0.044516,0.4375,0.8713,0.5000,0.5944,9.330127e-05
6,0.015324,0.5208,0.8272,0.5294,0.5784,9.045085e-05
7,0.004295,0.7917,0.9083,0.6050,0.6737,8.715724e-05
8,0.001049,0.8542,0.9206,0.6261,0.7264,8.345653e-05
9,0.000802,0.8750,0.9065,0.6387,0.7388,7.938926e-05
10,0.000523,0.8542,0.9153,0.6681,0.7431,7.500000e-05
11,0.000249,0.8542,0.9171,0.6891,0.7361,7.033683e-05
12,0.000268,0.8333,0.9136,0.6807,0.7325,6.545085e-05
13,0.000182,0.8333,0.9101,0.6723,0.7420,6.039558e-05
14,0.000244,0.8333,0.9101,0.6849,0.7487,5.522642e-05
15,0.000137,0.8542,0.9153,0.6723,0.7545,5.000000e-05
