epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.665021,0.5593,0.4662,0.5000,0.2798,9.972609e-05
2,0.433524,0.5593,0.4219,0.5000,0.4346,9.890738e-05
3,0.216689,0.5593,0.4382,0.5000,0.4965,9.755283e-05
4,0.072667,0.5593,0.5280,0.5000,0.6775,9.567727e-05
5,0.014055,0.5593,0.5490,0.5000,0.7422,9.330127e-05
6,0.004003,0.5593,0.6037,0.5188,0.7106,9.045085e-05
7,0.001395,0.5254,0.6072,0.5150,0.7206,8.715724e-05
8,0.000649,0.5763,0.6049,0.5376,0.7560,8.345653e-05
9,0.000353,0.5763,0.6119,0.6579,0.7833,7.938926e-05
10,0.000256,0.5932,0.6200,0.7218,0.8055,7.500000e-05
11,0.000375,0.6102,0.6317,0.6955,0.8242,7.033683e-05
12,0.000188,0.6102,0.6434,0.6880,0.8456,6.545085e-05
13,0.000211,0.6271,0.6573,0.7030,0.8548,6.039558e-05
14,0.000124,0.6271,0.6725,0.7256,0.8566,5.522642e-05
15,0.000119,0.6441,0.6760,0.7180,0.8588,5.000000e-05
16,0.000106,0.6441,0.6853,0.7068,0.8605,4.477358e-05
17,0.000145,0.6441,0.6853,0.6842,0.8624,3.960442e-05
18,0.000127,0.6441,0.6830,0.6805,0.8624,3.454915e-05
19,0.000087,0.6441,0.6818,0.6805,0.8624,2.966317e-05
20,0.000140,0.6441,0.6772,0.6767,0.8630,2.500000e-05
21,0.000093,0.6441,0.6783,0.6805,0.8635,2.061074e-05
22,0.000087,0.6441,0.6795,0.6767,0.8636,1.654347e-05
23,0.000094,0.6441,0.6795,0.6729,0.8630,1.284276e-05
