epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.692473,0.5424,0.3322,0.5075,0.5774,9.972609e-05
2,0.533622,0.4407,0.3462,0.5000,0.5033,9.890738e-05
3,0.339193,0.4407,0.4499,0.5000,0.5206,9.755283e-05
4,0.169385,0.4407,0.5408,0.5000,0.5648,9.567727e-05
5,0.045252,0.4407,0.5466,0.4962,0.5786,9.330127e-05
6,0.010697,0.4407,0.4790,0.5000,0.5636,9.045085e-05
7,0.003641,0.4746,0.6131,0.5263,0.7345,8.715724e-05
8,0.002002,0.5254,0.6492,0.6316,0.7699,8.345653e-05
9,0.000939,0.6271,0.6702,0.6880,0.7654,7.938926e-05
10,0.000346,0.6949,0.7051,0.7143,0.7927,7.500000e-05
11,0.000396,0.6949,0.7098,0.7143,0.8167,7.033683e-05
12,0.000222,0.6949,0.7249,0.7068,0.8180,6.545085e-05
13,0.000171,0.6949,0.7296,0.6992,0.8147,6.039558e-05
14,0.000186,0.6949,0.7378,0.7143,0.8156,5.522642e-05
15,0.000128,0.6949,0.7331,0.7105,0.8149,5.000000e-05
16,0.000158,0.6949,0.7296,0.7143,0.8142,4.477358e-05
17,0.000089,0.6949,0.7273,0.7218,0.8110,3.960442e-05
18,0.000086,0.6949,0.7226,0.7180,0.8097,3.454915e-05
19,0.000160,0.6780,0.7273,0.7180,0.8108,2.966317e-05
20,0.000095,0.6949,0.7261,0.7180,0.8108,2.500000e-05
21,0.000082,0.6949,0.7249,0.7218,0.8119,2.061074e-05
