epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.534162,1.763595,0.675411,0.701776,1.438142,1.486290,3.969008,0.478367,0.500000,0.512323,0.504202,0.167729,0.157974,0.522449,0.506122,0.462041,0.016327,0.528571,val_gen_auc_avg,0.478367,9.999726e-05
20,1.069140,0.597784,0.510185,0.421092,1.103835,1.145415,3.571247,0.591020,0.528571,0.561966,0.508403,0.176251,0.185521,0.545306,0.449796,0.520816,0.024490,0.485714,val_gen_auc_avg,0.591020,9.890738e-05
40,0.938883,0.488918,0.457321,0.314995,0.957997,1.021748,3.304426,0.503673,0.514286,0.602006,0.554622,0.245279,0.244590,0.573061,0.492245,0.484898,0.080816,0.557143,val_gen_auc_avg,0.503673,9.567727e-05
60,0.883704,0.321306,0.497602,0.416343,0.751439,0.955057,3.091759,0.746939,0.614286,0.618953,0.567227,0.200071,0.224405,0.564898,0.463673,0.456327,0.101224,0.571429,val_gen_auc_avg,0.746939,9.045085e-05
80,0.809966,0.512810,0.433605,0.320761,0.839162,0.875411,2.932503,0.761633,0.585714,0.708142,0.647059,0.205360,0.229311,0.639184,0.451429,0.440000,0.187755,0.585714,val_gen_auc_avg,0.761633,8.345653e-05
100,0.819477,0.214990,0.425048,0.067266,0.652171,0.817384,2.955933,0.820408,0.671429,0.743168,0.668067,0.178393,0.203744,0.544490,0.426939,0.472653,0.071837,0.557143,val_gen_auc_avg,0.820408,7.500000e-05
120,0.733787,0.354675,0.417488,0.326357,0.688141,0.693953,2.851960,0.893061,0.828571,0.737801,0.684874,0.183843,0.144116,0.731429,0.440000,0.485714,0.245714,0.628571,val_gen_auc_avg,0.893061,6.545085e-05
140,0.749754,0.219140,0.400585,0.027025,0.698880,0.789030,2.834605,0.897959,0.871429,0.736318,0.663866,0.163189,0.123116,0.822857,0.527347,0.517551,0.295510,0.685714,val_gen_auc_avg,0.897959,5.522642e-05
160,0.683008,0.117114,0.398997,0.039830,0.738225,0.722399,2.733717,0.941224,0.871429,0.754184,0.634454,0.168584,0.109675,0.815510,0.506939,0.608980,0.206531,0.757143,val_gen_auc_avg,0.941224,4.477358e-05
180,0.708961,0.160272,0.392016,0.029070,0.582784,0.755219,2.583776,0.955102,0.885714,0.720994,0.647059,0.179540,0.136502,0.876735,0.542041,0.581224,0.295510,0.742857,val_gen_auc_avg,0.955102,3.454915e-05
200,0.674214,0.146657,0.398920,0.030302,0.678785,0.691145,2.498109,0.897959,0.842857,0.752136,0.647059,0.155123,0.162195,0.801633,0.516735,0.463673,0.284898,0.714286,val_gen_auc_avg,0.897959,2.500000e-05
220,0.673750,0.190143,0.383685,0.061356,0.636594,0.661496,2.345456,0.896327,0.771429,0.710614,0.638655,0.182335,0.202313,0.912653,0.388571,0.504490,0.408163,0.871429,val_gen_auc_avg,0.896327,1.654347e-05
240,0.716747,0.122484,0.364075,0.005159,0.681541,0.672218,2.264748,0.903673,0.785714,0.731446,0.672269,0.186624,0.198641,0.893878,0.360000,0.440000,0.453878,0.828571,val_gen_auc_avg,0.903673,9.549150e-06
260,0.648229,0.246003,0.370526,0.099725,0.714405,0.721566,2.180383,0.895510,0.814286,0.690417,0.647059,0.197334,0.179843,0.880000,0.423673,0.519184,0.360816,0.785714,val_gen_auc_avg,0.895510,4.322727e-06
280,0.645667,0.125403,0.361977,0.008155,0.674744,0.635588,2.056951,0.875918,0.842857,0.664430,0.617647,0.163626,0.160251,0.784490,0.554286,0.420408,0.230204,0.771429,val_gen_auc_avg,0.875918,1.092620e-06
300,0.672111,0.168942,0.360648,0.039473,0.646220,0.728947,1.981787,0.902857,0.814286,0.682508,0.630252,0.174264,0.142104,0.875918,0.536327,0.528980,0.339592,0.800000,val_gen_auc_avg,0.902857,0.000000e+00
