epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.605603,1.406581,0.749029,0.724619,1.537127,1.554204,4.427401,0.601633,0.571429,0.527293,0.500000,0.204175,0.191920,0.511020,0.448163,0.568980,-0.057959,0.457143,val_gen_auc_avg,0.601633,9.999726e-05
20,1.403908,0.696068,0.506355,0.463032,1.225252,1.317594,4.094601,0.514286,0.514286,0.542264,0.491597,0.147468,0.178497,0.421224,0.512653,0.557551,-0.136327,0.428571,val_gen_auc_avg,0.514286,9.890738e-05
40,0.881449,0.503694,0.473843,0.440316,0.954852,0.971688,3.416159,0.550204,0.500000,0.628910,0.500000,0.126571,0.157397,0.480000,0.610612,0.561633,-0.130612,0.442857,val_gen_auc_avg,0.550204,9.567727e-05
60,0.752106,0.297140,0.450846,0.269624,0.871621,0.862401,3.060552,0.588571,0.528571,0.680249,0.563025,0.110680,0.192451,0.488163,0.493878,0.517551,-0.029388,0.528571,val_gen_auc_avg,0.588571,9.045085e-05
80,0.758173,0.241838,0.436110,0.145078,0.811071,0.801107,2.828525,0.630204,0.557143,0.727491,0.697479,0.119926,0.180292,0.754286,0.408980,0.410612,0.343673,0.614286,val_gen_auc_avg,0.630204,8.345653e-05
100,0.715179,0.210750,0.437557,0.070936,0.791230,0.724065,2.642227,0.750204,0.600000,0.744792,0.701681,0.112455,0.118505,0.718367,0.522449,0.427755,0.195918,0.614286,val_gen_auc_avg,0.750204,7.500000e-05
120,0.678388,0.162456,0.417284,0.063018,0.751241,0.689930,2.567177,0.645714,0.642857,0.732222,0.718487,0.100334,0.094656,0.642449,0.432653,0.480000,0.162449,0.642857,val_gen_auc_avg,0.645714,6.545085e-05
140,0.672473,0.313788,0.392730,0.085948,0.723324,0.692567,2.528716,0.723265,0.657143,0.742320,0.705882,0.079452,0.095171,0.664490,0.595918,0.562449,0.068571,0.614286,val_gen_auc_avg,0.723265,5.522642e-05
160,0.664464,0.157095,0.405972,0.028733,0.586333,0.641790,2.484743,0.727347,0.642857,0.739001,0.701681,0.079804,0.084725,0.633469,0.400000,0.480816,0.152653,0.671429,val_gen_auc_avg,0.727347,4.477358e-05
180,0.566859,0.262701,0.411024,0.185091,0.710692,0.630308,2.509015,0.722449,0.628571,0.742038,0.701681,0.073344,0.076388,0.663673,0.466122,0.619592,0.044082,0.657143,val_gen_auc_avg,0.722449,3.454915e-05
200,0.635356,0.136236,0.386929,0.026125,0.559975,0.623980,2.422998,0.763265,0.642857,0.732505,0.697479,0.086956,0.083675,0.665306,0.520000,0.539592,0.125714,0.642857,val_gen_auc_avg,0.763265,2.500000e-05
220,0.625400,0.121456,0.387379,0.014432,0.661697,0.631444,2.395751,0.835918,0.642857,0.751218,0.693277,0.076945,0.073536,0.712653,0.520816,0.534694,0.177959,0.685714,val_gen_auc_avg,0.835918,1.654347e-05
240,0.549507,0.364880,0.387939,0.226059,0.672776,0.594638,2.319574,0.739592,0.657143,0.737165,0.701681,0.076826,0.081221,0.700408,0.484082,0.378776,0.216327,0.657143,val_gen_auc_avg,0.739592,9.549150e-06
260,0.619326,0.129260,0.379355,0.033176,0.624080,0.675870,2.249324,0.813061,0.642857,0.740908,0.705882,0.061152,0.071873,0.791837,0.477551,0.505306,0.286531,0.685714,val_gen_auc_avg,0.813061,4.322727e-06
280,0.597253,0.217938,0.368217,0.043632,0.611554,0.651916,2.174346,0.778776,0.642857,0.748958,0.689076,0.064419,0.082223,0.728980,0.533061,0.515102,0.195918,0.642857,val_gen_auc_avg,0.778776,1.092620e-06
300,0.638294,0.143178,0.372245,0.039743,0.660877,0.619834,2.158944,0.776327,0.642857,0.737660,0.705882,0.079577,0.076071,0.633469,0.474286,0.396735,0.159184,0.714286,val_gen_auc_avg,0.776327,0.000000e+00
