epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.688161,0.5593,0.4242,0.5000,0.5437,9.972609e-05
2,0.524275,0.5424,0.5280,0.5113,0.4710,9.890738e-05
3,0.308587,0.5593,0.3753,0.5038,0.4622,9.755283e-05
4,0.146611,0.5593,0.4091,0.5000,0.5314,9.567727e-05
5,0.036238,0.5763,0.4977,0.5000,0.5385,9.330127e-05
6,0.008800,0.5932,0.5804,0.5414,0.5588,9.045085e-05
7,0.002438,0.4407,0.5396,0.6015,0.6519,8.715724e-05
8,0.001024,0.5085,0.5559,0.5714,0.7087,8.345653e-05
9,0.000682,0.5593,0.6026,0.6617,0.7809,7.938926e-05
10,0.000292,0.5424,0.6282,0.7331,0.8155,7.500000e-05
11,0.000287,0.5763,0.6317,0.7594,0.8397,7.033683e-05
12,0.000198,0.5932,0.6410,0.7970,0.8547,6.545085e-05
13,0.000136,0.5593,0.6515,0.7857,0.8617,6.039558e-05
14,0.000175,0.5763,0.6608,0.7744,0.8566,5.522642e-05
15,0.000129,0.5763,0.6643,0.7556,0.8551,5.000000e-05
16,0.000158,0.5763,0.6632,0.7368,0.8553,4.477358e-05
17,0.000095,0.5932,0.6620,0.7406,0.8558,3.960442e-05
18,0.000090,0.5932,0.6655,0.7293,0.8556,3.454915e-05
19,0.000162,0.5932,0.6667,0.7444,0.8564,2.966317e-05
20,0.000095,0.5932,0.6667,0.7444,0.8565,2.500000e-05
21,0.000084,0.5932,0.6667,0.7481,0.8564,2.061074e-05
22,0.000074,0.5932,0.6667,0.7444,0.8566,1.654347e-05
23,0.000079,0.6102,0.6643,0.7444,0.8565,1.284276e-05
24,0.000123,0.5932,0.6655,0.7444,0.8569,9.549150e-06
25,0.000070,0.6102,0.6655,0.7444,0.8563,6.698730e-06
26,0.000078,0.6102,0.6655,0.7481,0.8565,4.322727e-06
