epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.608177,0.5833,0.5097,0.4454,0.4422,9.972609e-05
2,0.336225,0.4375,0.6367,0.5000,0.6045,9.890738e-05
3,0.197926,0.4375,0.5450,0.5000,0.6027,9.755283e-05
4,0.088257,0.4375,0.5115,0.5000,0.6379,9.567727e-05
5,0.027442,0.4375,0.6049,0.5000,0.6670,9.330127e-05
6,0.007591,0.4375,0.6896,0.5000,0.6716,9.045085e-05
7,0.001715,0.4375,0.7531,0.5000,0.6670,8.715724e-05
8,0.001309,0.4583,0.7725,0.5084,0.6780,8.345653e-05
9,0.000457,0.5417,0.7901,0.5252,0.6845,7.938926e-05
10,0.000564,0.5625,0.8131,0.5588,0.6875,7.500000e-05
11,0.000291,0.5417,0.8042,0.5840,0.7062,7.033683e-05
12,0.000422,0.6042,0.8289,0.6261,0.7204,6.545085e-05
13,0.000223,0.6250,0.8360,0.6513,0.7310,6.039558e-05
14,0.000198,0.6667,0.8589,0.6639,0.7326,5.522642e-05
15,0.000211,0.7083,0.8660,0.6807,0.7362,5.000000e-05
16,0.000297,0.7292,0.8783,0.6975,0.7365,4.477358e-05
17,0.000207,0.7917,0.8783,0.6933,0.7349,3.960442e-05
18,0.000158,0.7917,0.8783,0.6975,0.7341,3.454915e-05
19,0.000133,0.7917,0.8836,0.6891,0.7367,2.966317e-05
20,0.000143,0.8333,0.8942,0.6639,0.7345,2.500000e-05
21,0.000117,0.8333,0.9030,0.6639,0.7323,2.061074e-05
22,0.000124,0.8333,0.9065,0.6513,0.7305,1.654347e-05
23,0.000237,0.8333,0.9083,0.6597,0.7302,1.284276e-05
24,0.000140,0.8333,0.9101,0.6639,0.7309,9.549150e-06
25,0.000105,0.8333,0.9065,0.6639,0.7320,6.698730e-06
26,0.000144,0.8333,0.9048,0.6681,0.7322,4.322727e-06
27,0.000120,0.8333,0.9048,0.6639,0.7322,2.447174e-06
28,0.000122,0.8333,0.9065,0.6681,0.7315,1.092620e-06
29,0.000131,0.8333,0.9065,0.6681,0.7313,2.739052e-07
30,0.000144,0.8333,0.9083,0.6681,0.7305,0.000000e+00
