epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.541028,1.490632,0.679919,0.708795,1.447775,1.453685,4.215363,0.496327,0.485714,0.514017,0.495798,0.189792,0.194744,0.514286,0.452245,0.489796,0.024490,0.585714,val_gen_auc_avg,0.496327,9.999726e-05
20,1.048751,0.735975,0.521733,0.474454,1.004127,1.056651,3.971976,0.555102,0.585714,0.564296,0.554622,0.201103,0.197897,0.493878,0.566531,0.484898,-0.072653,0.542857,val_gen_auc_avg,0.555102,9.890738e-05
40,0.897046,0.718835,0.448002,0.392104,0.902828,0.982752,3.411334,0.493061,0.514286,0.518537,0.495798,0.172498,0.163198,0.355918,0.418776,0.550204,-0.194286,0.485714,val_gen_auc_avg,0.493061,9.567727e-05
60,0.886749,0.794943,0.425415,0.499517,0.827923,0.943463,3.242002,0.662857,0.500000,0.662312,0.512605,0.102121,0.120458,0.448980,0.484082,0.500408,-0.051429,0.500000,val_gen_auc_avg,0.662857,9.045085e-05
80,0.772396,0.466724,0.447819,0.263335,0.829606,0.838655,3.145513,0.621224,0.500000,0.718381,0.533613,0.064658,0.137598,0.555102,0.443265,0.425306,0.111837,0.500000,val_gen_auc_avg,0.621224,8.345653e-05
100,0.809272,0.236345,0.435779,0.118030,0.860355,0.765044,3.111378,0.601633,0.514286,0.721771,0.626050,0.063060,0.148171,0.435102,0.471020,0.548571,-0.113469,0.528571,val_gen_auc_avg,0.601633,7.500000e-05
120,0.727098,0.169824,0.439629,0.096813,0.749511,0.770663,2.972487,0.640000,0.542857,0.751712,0.705882,0.064459,0.133166,0.529796,0.455510,0.505306,0.024490,0.542857,val_gen_auc_avg,0.640000,6.545085e-05
140,0.729215,0.325808,0.407765,0.120207,0.825407,0.702597,2.885027,0.675102,0.585714,0.749453,0.710084,0.089717,0.137458,0.644082,0.536327,0.453061,0.107755,0.557143,val_gen_auc_avg,0.675102,5.522642e-05
160,0.652629,0.408305,0.436679,0.367655,0.761757,0.732887,2.921703,0.559184,0.557143,0.756514,0.705882,0.084793,0.131550,0.691429,0.313469,0.433469,0.257959,0.642857,val_gen_auc_avg,0.559184,4.477358e-05
180,0.616299,0.395550,0.397604,0.199057,0.564914,0.665081,2.840472,0.716735,0.585714,0.730245,0.705882,0.120557,0.126927,0.583673,0.471837,0.491429,0.092245,0.614286,val_gen_auc_avg,0.716735,3.454915e-05
200,0.676034,0.094702,0.398659,0.015174,0.673733,0.673070,2.874560,0.699592,0.628571,0.738154,0.714286,0.115430,0.121543,0.629388,0.507755,0.463673,0.121633,0.571429,val_gen_auc_avg,0.699592,2.500000e-05
220,0.604741,0.272057,0.402443,0.257990,0.555848,0.693221,2.756303,0.733878,0.642857,0.707436,0.714286,0.132262,0.122989,0.671020,0.565714,0.608980,0.062041,0.571429,val_gen_auc_avg,0.733878,1.654347e-05
240,0.628151,0.125192,0.391836,0.009752,0.773582,0.669346,2.782861,0.772245,0.685714,0.736318,0.718487,0.111407,0.103448,0.771429,0.493878,0.551837,0.219592,0.642857,val_gen_auc_avg,0.772245,9.549150e-06
260,0.570595,0.312084,0.409378,0.164057,0.692280,0.666072,2.705932,0.731429,0.700000,0.772756,0.726891,0.130269,0.104544,0.777959,0.442449,0.394286,0.335510,0.685714,val_gen_auc_avg,0.731429,4.322727e-06
280,0.574735,0.225588,0.415660,0.140633,0.576230,0.662626,2.718162,0.755918,0.685714,0.759268,0.722689,0.133638,0.085641,0.635102,0.612245,0.424490,0.022857,0.700000,val_gen_auc_avg,0.755918,1.092620e-06
300,0.586689,0.175034,0.397057,0.048056,0.718485,0.642726,2.655975,0.702857,0.700000,0.762587,0.718487,0.128893,0.097387,0.662857,0.415510,0.439184,0.223673,0.657143,val_gen_auc_avg,0.702857,0.000000e+00
