epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,2.147142,1.851509,0.616452,0.746799,2.040105,2.070278,4.226930,0.402528,0.500000,0.533835,0.500000,0.018905,0.017927,0.546226,0.493940,0.503116,0.043109,0.500000,val_gen_auc_avg,0.402528,9.999726e-05
20,0.890513,0.560500,0.374885,0.598924,0.945754,1.034150,3.912212,0.563366,0.500000,0.489231,0.500000,0.119358,0.115350,0.511600,0.545880,0.465547,-0.034280,0.486842,val_gen_auc_avg,0.563366,9.890738e-05
40,0.844589,0.239454,0.341126,0.310682,0.875399,0.828537,2.984420,0.569252,0.506579,0.571881,0.507519,0.144776,0.132327,0.625866,0.497403,0.492902,0.128463,0.506579,val_gen_auc_avg,0.569252,9.567727e-05
60,0.772598,0.223265,0.294405,0.213924,0.780169,0.700335,2.378385,0.717105,0.500000,0.671886,0.500000,0.126884,0.103610,0.550208,0.404952,0.533241,0.016967,0.526316,val_gen_auc_avg,0.717105,9.045085e-05
80,0.716560,0.174113,0.280002,0.126183,0.742342,0.721024,2.004074,0.757098,0.611842,0.852111,0.556391,0.156212,0.131431,0.644564,0.585180,0.492902,0.059384,0.546053,val_gen_auc_avg,0.757098,8.345653e-05
100,0.774814,0.135142,0.292302,0.090612,0.796804,0.809606,1.771265,0.775450,0.717105,0.866131,0.665414,0.181565,0.152927,0.695118,0.536184,0.517140,0.158934,0.532895,val_gen_auc_avg,0.775450,7.500000e-05
120,0.723101,0.297841,0.272014,0.247683,0.768290,0.713743,1.554414,0.780990,0.703947,0.860309,0.718045,0.182386,0.160714,0.717452,0.499827,0.506925,0.210526,0.625000,val_gen_auc_avg,0.780990,6.545085e-05
140,0.771696,0.063735,0.255907,0.024326,0.662631,0.828020,1.488383,0.742036,0.690789,0.865623,0.725564,0.170355,0.135264,0.730783,0.448061,0.557999,0.172784,0.631579,val_gen_auc_avg,0.742036,5.522642e-05
160,0.654587,0.305125,0.265339,0.278738,0.629693,0.637927,1.362891,0.762812,0.717105,0.863305,0.759398,0.147240,0.136156,0.745325,0.482860,0.446849,0.262465,0.592105,val_gen_auc_avg,0.762812,4.477358e-05
180,0.751056,0.075491,0.245597,0.034122,0.721816,0.709914,1.314885,0.772161,0.717105,0.861100,0.808271,0.137689,0.128518,0.765928,0.518179,0.557306,0.208622,0.651316,val_gen_auc_avg,0.772161,3.454915e-05
