epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.510053,2.127322,0.632260,0.714244,1.479096,1.474853,3.565168,0.468663,0.500000,0.495958,0.500000,0.011402,0.011229,0.533587,0.379328,0.529952,0.003636,0.500000,val_gen_auc_avg,0.468663,9.999726e-05
20,0.936297,0.566444,0.350570,0.598996,0.979185,1.033748,3.269314,0.360803,0.500000,0.560235,0.500000,0.047589,0.048895,0.513850,0.414474,0.519737,-0.005886,0.500000,val_gen_auc_avg,0.360803,9.890738e-05
40,0.803271,0.413953,0.348717,0.543476,0.819728,0.831166,2.710940,0.587604,0.500000,0.523489,0.500000,0.066886,0.059622,0.535319,0.434730,0.583276,-0.047957,0.500000,val_gen_auc_avg,0.587604,9.567727e-05
60,0.792185,0.411598,0.341531,0.407104,0.750755,0.742428,2.392718,0.534626,0.500000,0.672678,0.500000,0.084237,0.062928,0.447888,0.478186,0.580159,-0.132271,0.513158,val_gen_auc_avg,0.534626,9.045085e-05
80,0.660032,0.198184,0.306216,0.210892,0.708650,0.707874,2.070093,0.616170,0.506579,0.754763,0.507519,0.152187,0.077787,0.567175,0.448580,0.514370,0.052805,0.559211,val_gen_auc_avg,0.616170,8.345653e-05
100,0.650691,0.226305,0.304603,0.152458,0.641592,0.653822,1.819997,0.676593,0.605263,0.817061,0.541353,0.206512,0.106829,0.588123,0.392486,0.525104,0.063019,0.532895,val_gen_auc_avg,0.676593,7.500000e-05
120,0.638116,0.124071,0.275643,0.104466,0.596213,0.640857,1.660580,0.653740,0.618421,0.854599,0.605263,0.228265,0.111566,0.558345,0.564578,0.562846,-0.006233,0.559211,val_gen_auc_avg,0.653740,6.545085e-05
140,0.622807,0.167306,0.278272,0.209480,0.730147,0.690397,1.566097,0.534107,0.473684,0.842953,0.627820,0.258148,0.155526,0.537742,0.458102,0.512985,0.024758,0.519737,val_gen_auc_avg,0.534107,5.522642e-05
160,0.666047,0.105963,0.263892,0.080014,0.664469,0.709267,1.369789,0.629675,0.565789,0.777206,0.578947,0.293559,0.175264,0.590374,0.509868,0.443560,0.080506,0.559211,val_gen_auc_avg,0.629675,4.477358e-05
180,0.668854,0.072538,0.265753,0.044553,0.634767,0.681893,1.309362,0.589681,0.559211,0.755837,0.605263,0.263495,0.185273,0.567867,0.493594,0.541724,0.026143,0.546053,val_gen_auc_avg,0.589681,3.454915e-05
200,0.640581,0.079377,0.258712,0.071287,0.727468,0.617137,1.186525,0.563366,0.552632,0.731132,0.563910,0.257526,0.186456,0.535665,0.535838,0.515062,-0.000173,0.506579,val_gen_auc_avg,0.563366,2.500000e-05
220,0.700960,0.119245,0.257783,0.049203,0.816175,0.776617,1.123275,0.582237,0.559211,0.758833,0.575188,0.237415,0.157185,0.543283,0.460699,0.492902,0.050381,0.532895,val_gen_auc_avg,0.582237,1.654347e-05
240,0.625614,0.058963,0.245472,0.037005,0.741666,0.771333,1.066079,0.566655,0.539474,0.759172,0.590226,0.219136,0.157838,0.608380,0.463643,0.595914,0.012465,0.592105,val_gen_auc_avg,0.566655,9.549150e-06
260,0.701587,0.200802,0.253978,0.169700,0.785108,0.704162,1.063111,0.614785,0.546053,0.764034,0.597744,0.231983,0.150172,0.553497,0.476974,0.501558,0.051939,0.532895,val_gen_auc_avg,0.614785,4.322727e-06
280,0.578493,0.386145,0.258585,0.330046,0.695463,0.681652,1.044896,0.549861,0.526316,0.759229,0.624060,0.235687,0.150548,0.550727,0.449619,0.556094,-0.005367,0.526316,val_gen_auc_avg,0.549861,1.092620e-06
300,0.684152,0.074925,0.246674,0.034391,0.759414,0.606728,1.009761,0.573234,0.532895,0.782068,0.627820,0.215812,0.151885,0.514197,0.484938,0.573407,-0.059211,0.473684,val_gen_auc_avg,0.573234,0.000000e+00
