epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.608533,0.4375,0.7143,0.5000,0.6138,9.972609e-05
2,0.400910,0.4375,0.7619,0.5000,0.5617,9.890738e-05
3,0.263038,0.4375,0.8113,0.5000,0.5392,9.755283e-05
4,0.152314,0.4375,0.8113,0.5000,0.5812,9.567727e-05
5,0.076008,0.5000,0.8078,0.5210,0.5639,9.330127e-05
6,0.039571,0.6042,0.8042,0.5546,0.5916,9.045085e-05
7,0.013343,0.7292,0.8025,0.5336,0.5915,8.715724e-05
8,0.003557,0.8125,0.8907,0.5378,0.6001,8.345653e-05
9,0.001155,0.8125,0.8871,0.5378,0.6195,7.938926e-05
10,0.000720,0.8542,0.8907,0.5504,0.6552,7.500000e-05
11,0.000259,0.8542,0.8871,0.5840,0.6767,7.033683e-05
12,0.000312,0.8750,0.9048,0.6008,0.6853,6.545085e-05
13,0.000170,0.8125,0.9189,0.6092,0.6913,6.039558e-05
14,0.000215,0.8542,0.9224,0.6050,0.6840,5.522642e-05
15,0.000124,0.8125,0.9189,0.6134,0.6810,5.000000e-05
16,0.000161,0.7917,0.9153,0.6261,0.6781,4.477358e-05
17,0.000113,0.7917,0.9101,0.6261,0.6778,3.960442e-05
18,0.000081,0.8542,0.8995,0.6134,0.6788,3.454915e-05
19,0.000072,0.8542,0.8959,0.5882,0.6803,2.966317e-05
20,0.000089,0.8542,0.8942,0.5756,0.6819,2.500000e-05
21,0.000118,0.8542,0.8942,0.5798,0.6829,2.061074e-05
