epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.511427,2.128847,0.632593,0.710929,1.491498,1.488295,3.566649,0.497403,0.500000,0.514161,0.500000,0.011444,0.012268,0.516101,0.380194,0.528393,-0.012292,0.500000,val_gen_auc_avg,0.497403,9.999726e-05
20,0.848362,0.633651,0.350393,0.628922,0.927178,0.968503,3.219587,0.498615,0.500000,0.510204,0.500000,0.044477,0.043669,0.515755,0.380886,0.497403,0.018352,0.500000,val_gen_auc_avg,0.498615,9.890738e-05
40,0.837161,0.371762,0.353753,0.598760,0.837795,0.856222,2.724019,0.468317,0.500000,0.513935,0.500000,0.055251,0.045807,0.530471,0.523026,0.477493,0.007445,0.486842,val_gen_auc_avg,0.468317,9.567727e-05
60,0.738716,0.437216,0.334532,0.454833,0.696620,0.723346,2.272014,0.503116,0.500000,0.661824,0.500000,0.070245,0.052036,0.442694,0.431440,0.581025,-0.138331,0.500000,val_gen_auc_avg,0.503116,9.045085e-05
80,0.682221,0.209927,0.304977,0.220129,0.711225,0.695147,2.054232,0.603878,0.500000,0.728984,0.500000,0.102449,0.057124,0.618248,0.472645,0.437500,0.145602,0.519737,val_gen_auc_avg,0.603878,8.345653e-05
100,0.697243,0.178551,0.302843,0.141401,0.695538,0.701240,1.827604,0.676247,0.526316,0.805698,0.511278,0.171492,0.084026,0.506925,0.574446,0.540166,-0.067521,0.460526,val_gen_auc_avg,0.676247,7.500000e-05
120,0.690202,0.128363,0.283095,0.154808,0.643259,0.682559,1.747099,0.607860,0.532895,0.834586,0.522556,0.230488,0.107963,0.571849,0.545014,0.451870,0.026835,0.565789,val_gen_auc_avg,0.607860,6.545085e-05
140,0.642415,0.252620,0.259683,0.182826,0.720082,0.690824,1.652719,0.578601,0.539474,0.828368,0.567669,0.233556,0.146571,0.585526,0.409107,0.509695,0.075831,0.526316,val_gen_auc_avg,0.578601,5.522642e-05
160,0.687276,0.104779,0.267885,0.047948,0.692931,0.739228,1.448847,0.524411,0.500000,0.798180,0.545113,0.221654,0.148968,0.550208,0.506752,0.503636,0.043456,0.519737,val_gen_auc_avg,0.524411,4.477358e-05
180,0.699627,0.074352,0.270537,0.047505,0.657892,0.701559,1.332793,0.487188,0.500000,0.751993,0.526316,0.195633,0.146958,0.500693,0.473511,0.489612,0.011080,0.506579,val_gen_auc_avg,0.487188,3.454915e-05
200,0.650929,0.092167,0.261550,0.078705,0.745615,0.627188,1.198997,0.460873,0.460526,0.762282,0.548872,0.150074,0.156032,0.533760,0.548476,0.561461,-0.027701,0.480263,val_gen_auc_avg,0.460873,2.500000e-05
220,0.720531,0.102389,0.265861,0.043786,0.834676,0.797782,1.116774,0.455159,0.506579,0.743852,0.511278,0.147190,0.132155,0.541898,0.410838,0.519910,0.021988,0.532895,val_gen_auc_avg,0.455159,1.654347e-05
240,0.633030,0.062544,0.248939,0.033111,0.745916,0.778648,1.048283,0.461219,0.500000,0.720787,0.515038,0.152059,0.111824,0.605090,0.462777,0.525796,0.079294,0.539474,val_gen_auc_avg,0.461219,9.549150e-06
260,0.699916,0.155431,0.257618,0.151751,0.772493,0.703244,1.031762,0.541724,0.480263,0.772514,0.515038,0.143055,0.113047,0.604917,0.494114,0.542590,0.062327,0.532895,val_gen_auc_avg,0.541724,4.322727e-06
280,0.580268,0.390234,0.263400,0.279055,0.698577,0.685087,1.011259,0.584141,0.513158,0.736899,0.552632,0.157681,0.116128,0.578255,0.511773,0.525450,0.052805,0.565789,val_gen_auc_avg,0.584141,1.092620e-06
300,0.688049,0.056375,0.252272,0.026890,0.753905,0.610431,0.977384,0.504501,0.513158,0.761716,0.560150,0.182240,0.117879,0.577562,0.448061,0.526143,0.051420,0.552632,val_gen_auc_avg,0.504501,0.000000e+00
