epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.548346,1.681470,0.647437,0.702748,1.882033,1.839372,3.537759,0.472653,0.514286,0.522844,0.474790,0.199634,0.208333,0.469388,0.449796,0.562449,-0.093061,0.528571,val_gen_auc_avg,0.472653,9.999726e-05
20,1.325815,0.694631,0.533642,0.364144,1.201337,1.289848,3.231497,0.498776,0.457143,0.546077,0.500000,0.229172,0.234352,0.504490,0.453061,0.442449,0.051429,0.457143,val_gen_auc_avg,0.498776,9.890738e-05
40,1.057260,0.428684,0.510732,0.335146,1.108569,1.122373,3.012058,0.545306,0.557143,0.512111,0.495798,0.204550,0.217381,0.489796,0.528163,0.444082,-0.038367,0.471429,val_gen_auc_avg,0.545306,9.567727e-05
60,0.932855,0.285739,0.448514,0.084674,0.827703,0.897188,2.957638,0.478367,0.500000,0.601794,0.550420,0.176886,0.203081,0.516735,0.431020,0.468571,0.048163,0.514286,val_gen_auc_avg,0.478367,9.045085e-05
80,0.730983,0.495195,0.424018,0.181353,0.796513,0.780511,3.001992,0.660408,0.528571,0.692324,0.621849,0.186925,0.209698,0.521633,0.356735,0.394286,0.127347,0.571429,val_gen_auc_avg,0.660408,8.345653e-05
100,0.730839,0.150323,0.421413,0.055427,0.577522,0.697395,2.849205,0.661224,0.557143,0.750512,0.693277,0.175493,0.188284,0.542041,0.447347,0.506122,0.035918,0.600000,val_gen_auc_avg,0.661224,7.500000e-05
120,0.643686,0.331268,0.415146,0.157519,0.630294,0.594353,2.697057,0.697143,0.557143,0.749029,0.705882,0.137731,0.171987,0.691429,0.556735,0.487347,0.134694,0.614286,val_gen_auc_avg,0.697143,6.545085e-05
140,0.666357,0.189010,0.402571,0.037767,0.626659,0.680593,2.508593,0.768163,0.628571,0.756726,0.731092,0.121844,0.162055,0.803265,0.509388,0.330612,0.293878,0.685714,val_gen_auc_avg,0.768163,5.522642e-05
160,0.638242,0.107668,0.400596,0.007357,0.706287,0.662848,2.405321,0.763265,0.642857,0.775722,0.739496,0.107738,0.140199,0.781224,0.463673,0.538776,0.242449,0.685714,val_gen_auc_avg,0.763265,4.477358e-05
180,0.646037,0.164119,0.383441,0.047890,0.528015,0.671055,2.298509,0.715918,0.642857,0.775793,0.705882,0.109035,0.138113,0.761633,0.448163,0.421224,0.313469,0.700000,val_gen_auc_avg,0.715918,3.454915e-05
200,0.646323,0.129836,0.364747,0.019094,0.652321,0.627855,2.165108,0.821224,0.657143,0.774804,0.718487,0.126448,0.127862,0.808980,0.493061,0.403265,0.315918,0.742857,val_gen_auc_avg,0.821224,2.500000e-05
220,0.634624,0.257303,0.393832,0.094793,0.599377,0.620992,2.103498,0.816327,0.685714,0.757079,0.672269,0.122197,0.137414,0.845714,0.333878,0.416327,0.429388,0.785714,val_gen_auc_avg,0.816327,1.654347e-05
240,0.655179,0.145774,0.365881,0.009108,0.615762,0.600580,2.007035,0.835918,0.757143,0.747687,0.647059,0.128255,0.119778,0.836735,0.566531,0.386122,0.270204,0.742857,val_gen_auc_avg,0.835918,9.549150e-06
260,0.600642,0.167965,0.370648,0.069639,0.651250,0.671061,1.945171,0.915918,0.728571,0.748535,0.672269,0.139226,0.116080,0.835102,0.224490,0.615510,0.219592,0.757143,val_gen_auc_avg,0.915918,4.322727e-06
280,0.609138,0.136917,0.374124,0.015465,0.624162,0.581908,1.860204,0.897959,0.814286,0.744792,0.663866,0.137355,0.133674,0.851429,0.510204,0.434286,0.341224,0.800000,val_gen_auc_avg,0.897959,1.092620e-06
300,0.631022,0.179233,0.355370,0.036908,0.588890,0.680137,1.816936,0.927347,0.800000,0.732646,0.663866,0.125401,0.127936,0.878367,0.550204,0.522449,0.328163,0.800000,val_gen_auc_avg,0.927347,0.000000e+00
