epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.621683,0.4792,0.5767,0.5042,0.5054,9.972609e-05
2,0.374054,0.4375,0.6155,0.5000,0.6673,9.890738e-05
3,0.218996,0.4375,0.6102,0.5000,0.6413,9.755283e-05
4,0.109818,0.4375,0.5732,0.5000,0.6633,9.567727e-05
5,0.041796,0.4375,0.6702,0.5000,0.7113,9.330127e-05
6,0.012479,0.4375,0.6984,0.5000,0.6764,9.045085e-05
7,0.003234,0.4375,0.7513,0.5042,0.6937,8.715724e-05
8,0.002121,0.4792,0.7690,0.5042,0.7045,8.345653e-05
9,0.000658,0.5208,0.7566,0.5252,0.7157,7.938926e-05
10,0.000570,0.5000,0.7743,0.5798,0.7257,7.500000e-05
11,0.000345,0.5833,0.7884,0.6429,0.7350,7.033683e-05
12,0.000432,0.6458,0.8148,0.6681,0.7341,6.545085e-05
13,0.000239,0.7500,0.8131,0.7059,0.7385,6.039558e-05
14,0.000209,0.7708,0.8025,0.7143,0.7425,5.522642e-05
15,0.000199,0.7708,0.8148,0.7269,0.7447,5.000000e-05
16,0.000287,0.7708,0.8201,0.7269,0.7441,4.477358e-05
17,0.000196,0.7708,0.8254,0.7311,0.7418,3.960442e-05
18,0.000150,0.7708,0.8236,0.7227,0.7397,3.454915e-05
19,0.000131,0.7500,0.8307,0.7143,0.7374,2.966317e-05
20,0.000140,0.7708,0.8360,0.7101,0.7360,2.500000e-05
21,0.000118,0.7292,0.8448,0.7017,0.7350,2.061074e-05
22,0.000122,0.7292,0.8430,0.7017,0.7349,1.654347e-05
23,0.000236,0.7292,0.8430,0.7017,0.7352,1.284276e-05
24,0.000147,0.7292,0.8430,0.7017,0.7351,9.549150e-06
25,0.000113,0.7292,0.8413,0.7059,0.7347,6.698730e-06
26,0.000139,0.7292,0.8413,0.7059,0.7348,4.322727e-06
27,0.000129,0.7292,0.8377,0.7059,0.7350,2.447174e-06
28,0.000117,0.7292,0.8395,0.7059,0.7349,1.092620e-06
