epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.448337,2.197593,0.641975,0.790227,1.457797,1.463874,3.700712,0.466586,0.500000,0.477528,0.500000,0.033845,0.031121,0.590720,0.459661,0.532029,0.058691,0.500000,val_gen_auc_avg,0.466586,9.999726e-05
20,1.003254,0.518922,0.398656,0.545240,1.083703,1.059486,3.536901,0.522334,0.500000,0.539036,0.500000,0.043216,0.045260,0.483553,0.546918,0.523026,-0.063366,0.500000,val_gen_auc_avg,0.522334,9.890738e-05
40,0.867356,0.414564,0.341991,0.429032,0.933304,0.972324,2.853487,0.576177,0.500000,0.536661,0.500000,0.038743,0.035329,0.465720,0.438193,0.627078,-0.161357,0.500000,val_gen_auc_avg,0.576177,9.567727e-05
60,0.791110,0.341214,0.322359,0.281689,0.845889,0.798653,2.379215,0.678324,0.500000,0.690316,0.500000,0.049006,0.042229,0.605263,0.504501,0.529432,0.075831,0.506579,val_gen_auc_avg,0.678324,9.045085e-05
80,0.743207,0.265949,0.302770,0.202416,0.790041,0.831707,2.000905,0.732168,0.500000,0.811239,0.500000,0.092879,0.062645,0.647853,0.521122,0.573234,0.074619,0.506579,val_gen_auc_avg,0.732168,8.345653e-05
100,0.704118,0.121615,0.301518,0.080061,0.737971,0.776321,1.775482,0.716932,0.506579,0.851546,0.496241,0.123269,0.083754,0.700312,0.512119,0.466586,0.188193,0.526316,val_gen_auc_avg,0.716932,7.500000e-05
120,0.768181,0.079300,0.285238,0.090930,0.758072,0.689507,1.652998,0.761773,0.500000,0.864718,0.530075,0.133685,0.102672,0.744460,0.559211,0.471087,0.185249,0.546053,val_gen_auc_avg,0.761773,6.545085e-05
140,0.682614,0.057602,0.259971,0.036941,0.774900,0.627935,1.538462,0.718144,0.519737,0.842444,0.578947,0.156278,0.124470,0.763158,0.509868,0.492729,0.253289,0.546053,val_gen_auc_avg,0.718144,5.522642e-05
160,0.702188,0.089201,0.269568,0.048008,0.641190,0.630106,1.434191,0.744806,0.565789,0.836396,0.624060,0.174044,0.125659,0.750693,0.516101,0.472645,0.234591,0.539474,val_gen_auc_avg,0.744806,4.477358e-05
180,0.683387,0.084370,0.265843,0.038085,0.728096,0.673238,1.397925,0.751904,0.611842,0.827633,0.646617,0.186484,0.136445,0.710353,0.482687,0.567348,0.143006,0.513158,val_gen_auc_avg,0.751904,3.454915e-05
200,0.701427,0.039811,0.264442,0.029774,0.746064,0.658919,1.278939,0.733206,0.644737,0.831195,0.695489,0.192743,0.157673,0.753289,0.515582,0.541032,0.212258,0.618421,val_gen_auc_avg,0.733206,2.500000e-05
220,0.680644,0.070841,0.260384,0.029901,0.694990,0.645909,1.237891,0.743594,0.703947,0.812878,0.706767,0.179175,0.133609,0.713816,0.576524,0.518352,0.137292,0.565789,val_gen_auc_avg,0.743594,1.654347e-05
240,0.640369,0.085412,0.251602,0.079879,0.745303,0.619262,1.169886,0.721607,0.684211,0.832043,0.718045,0.150001,0.122799,0.717452,0.454467,0.550554,0.166898,0.605263,val_gen_auc_avg,0.721607,9.549150e-06
260,0.689604,0.190185,0.256848,0.145613,0.777965,0.753160,1.159369,0.727493,0.717105,0.790548,0.710526,0.135723,0.102502,0.710873,0.500000,0.475069,0.210873,0.651316,val_gen_auc_avg,0.727493,4.322727e-06
280,0.674084,0.058383,0.244843,0.015100,0.701724,0.729541,1.122538,0.755886,0.717105,0.812369,0.706767,0.109210,0.112073,0.719529,0.501039,0.470395,0.218490,0.611842,val_gen_auc_avg,0.755886,1.092620e-06
300,0.702075,0.068585,0.254327,0.030988,0.758292,0.714574,1.092274,0.740997,0.723684,0.806999,0.736842,0.100284,0.092452,0.738227,0.500519,0.509003,0.229224,0.664474,val_gen_auc_avg,0.740997,0.000000e+00
