epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.547632,1.676414,0.646292,0.698814,1.861359,1.825617,3.545068,0.404082,0.471429,0.542617,0.495798,0.200432,0.201492,0.426939,0.447347,0.534694,-0.107755,0.385714,val_gen_auc_avg,0.404082,9.999726e-05
20,1.190396,0.737016,0.515702,0.423325,1.123551,1.254691,3.219015,0.414694,0.457143,0.549891,0.546218,0.244708,0.245792,0.456327,0.433469,0.403265,0.022857,0.471429,val_gen_auc_avg,0.414694,9.890738e-05
40,0.955774,0.560504,0.472691,0.312189,0.951683,1.040259,3.064368,0.424490,0.414286,0.542758,0.508403,0.206613,0.219290,0.618776,0.526531,0.436735,0.092245,0.571429,val_gen_auc_avg,0.424490,9.567727e-05
60,0.810424,0.313803,0.490242,0.305379,0.702530,0.829439,2.957562,0.612245,0.542857,0.536120,0.500000,0.191112,0.219110,0.471837,0.402449,0.491429,-0.019592,0.542857,val_gen_auc_avg,0.612245,9.045085e-05
80,0.751957,0.608303,0.431485,0.279361,0.790402,0.821742,2.870471,0.761633,0.557143,0.705882,0.647059,0.215267,0.222301,0.395918,0.411429,0.408163,-0.015510,0.457143,val_gen_auc_avg,0.761633,8.345653e-05
100,0.777901,0.190812,0.423712,0.086115,0.619142,0.718390,2.800796,0.711020,0.657143,0.703834,0.659664,0.209702,0.167282,0.594286,0.467755,0.446531,0.126531,0.500000,val_gen_auc_avg,0.711020,7.500000e-05
120,0.693410,0.270601,0.419889,0.134942,0.667380,0.657809,2.746984,0.690612,0.685714,0.677071,0.592437,0.161572,0.118937,0.631020,0.398367,0.568980,0.062041,0.600000,val_gen_auc_avg,0.690612,6.545085e-05
140,0.708809,0.148480,0.419802,0.036366,0.689659,0.734999,2.670115,0.782041,0.700000,0.686463,0.600840,0.131254,0.096679,0.717551,0.429388,0.431837,0.285714,0.642857,val_gen_auc_avg,0.782041,5.522642e-05
160,0.651489,0.118891,0.408983,0.053602,0.747909,0.678731,2.581563,0.731429,0.700000,0.672269,0.600840,0.123848,0.069978,0.707755,0.615510,0.502857,0.092245,0.642857,val_gen_auc_avg,0.731429,4.477358e-05
180,0.675917,0.172006,0.395090,0.068338,0.578436,0.693968,2.570213,0.799184,0.700000,0.650801,0.609244,0.105817,0.069681,0.801633,0.407347,0.503673,0.297959,0.800000,val_gen_auc_avg,0.799184,3.454915e-05
200,0.636966,0.149087,0.366194,0.031096,0.669824,0.630542,2.561173,0.681633,0.700000,0.662100,0.588235,0.098740,0.071820,0.785306,0.371429,0.386122,0.399184,0.700000,val_gen_auc_avg,0.681633,2.500000e-05
220,0.639357,0.184953,0.407287,0.071569,0.623398,0.612942,2.473471,0.675918,0.700000,0.630817,0.584034,0.091426,0.076549,0.809796,0.564082,0.502857,0.245714,0.700000,val_gen_auc_avg,0.675918,1.654347e-05
240,0.679017,0.130312,0.371730,0.017134,0.660552,0.606315,2.410808,0.819592,0.728571,0.642681,0.579832,0.093057,0.064966,0.835102,0.453061,0.493061,0.342041,0.757143,val_gen_auc_avg,0.819592,9.549150e-06
260,0.610027,0.211163,0.378579,0.079023,0.704448,0.667529,2.368285,0.844898,0.714286,0.680390,0.579832,0.102249,0.070428,0.756735,0.456327,0.459592,0.297143,0.714286,val_gen_auc_avg,0.844898,4.322727e-06
280,0.620626,0.109241,0.382889,0.008078,0.660113,0.581883,2.292302,0.705306,0.685714,0.648542,0.571429,0.101088,0.073353,0.693061,0.556735,0.397551,0.136327,0.657143,val_gen_auc_avg,0.705306,1.092620e-06
300,0.647615,0.149349,0.355611,0.027910,0.630230,0.677686,2.234721,0.739592,0.700000,0.628699,0.588235,0.121032,0.064361,0.740408,0.448980,0.571429,0.168980,0.771429,val_gen_auc_avg,0.739592,0.000000e+00
