epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.690998,0.5593,0.5233,0.5000,0.6144,9.972609e-05
2,0.551785,0.4237,0.5152,0.5000,0.5440,9.890738e-05
3,0.376965,0.4407,0.4744,0.5113,0.5632,9.755283e-05
4,0.198603,0.4576,0.4709,0.5752,0.6634,9.567727e-05
5,0.066248,0.4576,0.4184,0.5075,0.7084,9.330127e-05
6,0.019732,0.4576,0.5210,0.5113,0.7123,9.045085e-05
7,0.004531,0.4407,0.5315,0.5075,0.7073,8.715724e-05
8,0.001588,0.4407,0.6410,0.5338,0.7697,8.345653e-05
9,0.004085,0.5085,0.6702,0.6090,0.7938,7.938926e-05
10,0.000798,0.6102,0.6807,0.7293,0.8265,7.500000e-05
11,0.000525,0.6949,0.7051,0.7180,0.7849,7.033683e-05
12,0.000546,0.6780,0.6900,0.7556,0.8056,6.545085e-05
13,0.000438,0.6610,0.7028,0.7180,0.7981,6.039558e-05
14,0.000279,0.6441,0.6690,0.6805,0.7912,5.522642e-05
15,0.000242,0.6441,0.6783,0.7068,0.7990,5.000000e-05
16,0.000218,0.6610,0.6888,0.7256,0.8084,4.477358e-05
17,0.000111,0.6780,0.6981,0.7256,0.8138,3.960442e-05
18,0.000121,0.6780,0.7028,0.7256,0.8157,3.454915e-05
