epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.672209,0.5424,0.5326,0.4398,0.4121,9.972609e-05
2,0.469091,0.5593,0.4231,0.5000,0.5189,9.890738e-05
3,0.279035,0.5254,0.3846,0.5226,0.5475,9.755283e-05
4,0.119047,0.5085,0.4779,0.5414,0.6245,9.567727e-05
5,0.031329,0.4915,0.5396,0.5113,0.7264,9.330127e-05
6,0.006533,0.5593,0.5256,0.5226,0.7647,9.045085e-05
7,0.001954,0.5424,0.5490,0.6165,0.7654,8.715724e-05
8,0.000886,0.5932,0.5862,0.6880,0.7939,8.345653e-05
9,0.000560,0.5424,0.5839,0.7218,0.8263,7.938926e-05
10,0.000371,0.5254,0.5839,0.6767,0.8363,7.500000e-05
11,0.000413,0.5254,0.6084,0.6617,0.8413,7.033683e-05
12,0.000230,0.5424,0.6131,0.6805,0.8535,6.545085e-05
13,0.000252,0.5932,0.6364,0.7143,0.8594,6.039558e-05
14,0.000138,0.5932,0.6422,0.7519,0.8608,5.522642e-05
15,0.000142,0.5932,0.6352,0.7632,0.8617,5.000000e-05
16,0.000117,0.5593,0.6364,0.7519,0.8638,4.477358e-05
17,0.000181,0.5763,0.6364,0.7519,0.8634,3.960442e-05
18,0.000137,0.5763,0.6329,0.7519,0.8632,3.454915e-05
19,0.000096,0.5763,0.6340,0.7519,0.8634,2.966317e-05
20,0.000138,0.5763,0.6329,0.7556,0.8637,2.500000e-05
21,0.000101,0.5932,0.6317,0.7632,0.8638,2.061074e-05
