epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.615540,0.4375,0.7108,0.5000,0.5889,9.972609e-05
2,0.403390,0.4375,0.7496,0.5000,0.5522,9.890738e-05
3,0.264477,0.4375,0.7160,0.5000,0.5288,9.755283e-05
4,0.130788,0.4375,0.7566,0.5000,0.5590,9.567727e-05
5,0.049191,0.4375,0.7954,0.5000,0.6000,9.330127e-05
6,0.020518,0.4375,0.8201,0.5000,0.6352,9.045085e-05
7,0.005832,0.4583,0.8307,0.5126,0.6202,8.715724e-05
8,0.001437,0.4792,0.8113,0.5840,0.6211,8.345653e-05
9,0.000862,0.4375,0.8236,0.5798,0.6259,7.938926e-05
10,0.000493,0.4375,0.8042,0.6092,0.6622,7.500000e-05
11,0.000322,0.5000,0.7654,0.6134,0.6747,7.033683e-05
12,0.000259,0.5833,0.7619,0.6218,0.6807,6.545085e-05
13,0.000157,0.6250,0.7637,0.6008,0.6858,6.039558e-05
14,0.000196,0.6250,0.7672,0.6345,0.6968,5.522642e-05
