epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.626373,0.4375,0.7601,0.5000,0.4859,9.972609e-05
2,0.419874,0.4375,0.7795,0.5000,0.5543,9.890738e-05
3,0.288212,0.4375,0.7901,0.5000,0.5496,9.755283e-05
4,0.145728,0.4375,0.8377,0.5000,0.5477,9.567727e-05
5,0.060644,0.4375,0.7937,0.5000,0.5597,9.330127e-05
6,0.025883,0.4375,0.7937,0.4916,0.5426,9.045085e-05
7,0.005408,0.5833,0.7425,0.5630,0.5934,8.715724e-05
8,0.001463,0.6250,0.7266,0.5924,0.6456,8.345653e-05
9,0.000878,0.6250,0.7584,0.6008,0.6637,7.938926e-05
10,0.000470,0.6458,0.7743,0.6008,0.6641,7.500000e-05
11,0.000274,0.6875,0.7866,0.6218,0.6760,7.033683e-05
