epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.606844,1.791893,0.651565,0.716787,1.588414,1.598284,4.306777,0.595918,0.500000,0.512605,0.500000,0.087426,0.093153,0.505306,0.418776,0.530612,-0.025306,0.485714,val_gen_auc_avg,0.595918,9.999726e-05
20,1.335159,0.527322,0.519821,0.422485,1.292479,1.419340,4.078231,0.537959,0.528571,0.570793,0.478992,0.183281,0.163641,0.527347,0.505306,0.457959,0.022041,0.500000,val_gen_auc_avg,0.537959,9.890738e-05
40,0.959947,0.505378,0.460847,0.299318,0.958535,0.951115,3.832001,0.636735,0.585714,0.633854,0.567227,0.226125,0.223198,0.573878,0.523265,0.451429,0.050612,0.528571,val_gen_auc_avg,0.636735,9.567727e-05
60,0.915319,0.208696,0.448115,0.129894,0.910665,0.909208,3.663784,0.761633,0.585714,0.675729,0.647059,0.223566,0.230379,0.601633,0.546939,0.508571,0.054694,0.600000,val_gen_auc_avg,0.761633,9.045085e-05
80,0.752761,0.188624,0.434265,0.055669,0.707504,0.765320,3.379564,0.815510,0.585714,0.748040,0.672269,0.152826,0.200975,0.604082,0.414694,0.444898,0.159184,0.557143,val_gen_auc_avg,0.815510,8.345653e-05
100,0.743356,0.163531,0.384444,0.023716,0.790722,0.725886,3.400100,0.862041,0.614286,0.751642,0.672269,0.141314,0.180872,0.724898,0.448980,0.456327,0.268571,0.614286,val_gen_auc_avg,0.862041,7.500000e-05
120,0.715264,0.205454,0.383485,0.057018,0.607309,0.756539,3.104679,0.838367,0.614286,0.761104,0.701681,0.143646,0.163818,0.792653,0.460408,0.420408,0.332245,0.728571,val_gen_auc_avg,0.838367,6.545085e-05
140,0.564952,0.561998,0.395634,0.377337,0.731944,0.628410,2.836855,0.850612,0.685714,0.752419,0.676471,0.123164,0.143636,0.799184,0.520000,0.576327,0.222857,0.728571,val_gen_auc_avg,0.850612,5.522642e-05
160,0.664652,0.228163,0.400577,0.125780,0.624458,0.681823,2.579247,0.857959,0.714286,0.760963,0.693277,0.102807,0.122976,0.792653,0.584490,0.528980,0.208163,0.728571,val_gen_auc_avg,0.857959,4.477358e-05
180,0.616020,0.162113,0.373575,0.028949,0.552833,0.685012,2.420892,0.826122,0.785714,0.757997,0.651261,0.102857,0.123121,0.826122,0.497143,0.511837,0.314286,0.757143,val_gen_auc_avg,0.826122,3.454915e-05
200,0.658536,0.139596,0.355458,0.039761,0.698901,0.650955,2.254395,0.827755,0.785714,0.761104,0.647059,0.090106,0.102265,0.809796,0.415510,0.608980,0.200816,0.785714,val_gen_auc_avg,0.827755,2.500000e-05
220,0.634024,0.104269,0.355362,0.020128,0.700783,0.670343,2.075709,0.838367,0.785714,0.739284,0.642857,0.072210,0.095249,0.821224,0.582041,0.645714,0.175510,0.742857,val_gen_auc_avg,0.838367,1.654347e-05
240,0.640883,0.118126,0.357353,0.029603,0.746563,0.660429,1.989308,0.876735,0.771429,0.761387,0.655462,0.074476,0.075080,0.780408,0.405714,0.477551,0.302857,0.800000,val_gen_auc_avg,0.876735,9.549150e-06
260,0.616971,0.163946,0.354039,0.045667,0.530670,0.701823,1.867070,0.840816,0.800000,0.733423,0.642857,0.070091,0.078568,0.870204,0.432653,0.591020,0.279184,0.785714,val_gen_auc_avg,0.840816,4.322727e-06
280,0.650007,0.139431,0.354530,0.078375,0.769811,0.615190,1.794285,0.882449,0.814286,0.740414,0.647059,0.081866,0.074856,0.814694,0.677551,0.468571,0.137143,0.742857,val_gen_auc_avg,0.882449,1.092620e-06
300,0.632681,0.117388,0.345628,0.048961,0.631245,0.655262,1.806443,0.847347,0.800000,0.760045,0.651261,0.062304,0.077874,0.832653,0.398367,0.556735,0.275918,0.800000,val_gen_auc_avg,0.847347,0.000000e+00
