run_name	region	fold	horizon_idx	seed	status	elapsed_s	final_test_auc	final_test_acc	final_val_auc	final_val_acc	test_gen_auc_avg	test_gen_acc_avg	val_gen_auc_avg	val_gen_acc_avg	val_condition_gap_auc	best_score	cfg_json
anchor_eeg__s0__h2	VPM	M710	2	0	ok	706.0000	0.7516	0.7017	0.7567	0.7571	0.7100	0.6807	0.8253	0.7571	0.3616	0.8253	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s1__h2	VPM	M710	2	1	ok	708.2000	0.7583	0.7143	0.7600	0.7143	0.7199	0.7185	0.8204	0.7429	0.1208	0.8204	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s2__h2	VPM	M710	2	2	ok	718.2000	0.7412	0.7059	0.8506	0.7571	0.7454	0.7185	0.8522	0.7571	0.3004	0.8522	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s3__h2	VPM	M710	2	3	ok	709.8000	0.7493	0.6681	0.8457	0.7286	0.7553	0.6765	0.8588	0.7571	0.1045	0.8588	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s4__h2	VPM	M710	2	4	ok	726.0000	0.7169	0.7059	0.7347	0.6571	0.7068	0.7017	0.8335	0.6714	0.3371	0.8335	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s0__h3	VPM	M710	3	0	ok	730.0000	0.7131	0.6975	0.8522	0.7286	0.7163	0.7017	0.8122	0.7143	0.1078	0.8122	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s1__h3	VPM	M710	3	1	ok	707.3000	0.7584	0.7143	0.7608	0.6571	0.7363	0.7185	0.7722	0.6857	0.2196	0.7722	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s2__h3	VPM	M710	3	2	ok	719.2000	0.7306	0.6765	0.7543	0.7000	0.7296	0.6765	0.7682	0.6714	0.1690	0.7682	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s3__h3	VPM	M710	3	3	ok	718.1000	0.7503	0.6975	0.7502	0.7000	0.7337	0.7059	0.7829	0.7143	0.0873	0.7829	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s4__h3	VPM	M710	3	4	ok	703.4000	0.7546	0.6891	0.7878	0.6429	0.7512	0.6933	0.8359	0.6429	0.1780	0.8359	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
