epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,2.145371,1.854863,0.616267,0.748699,2.037881,2.066181,4.230453,0.422957,0.500000,0.496523,0.500000,0.017833,0.018460,0.554882,0.493075,0.508830,0.046053,0.500000,val_gen_auc_avg,0.422957,9.999726e-05
20,0.812400,0.646223,0.393150,0.587895,0.833414,0.859224,3.978701,0.502078,0.500000,0.494827,0.500000,0.118694,0.120286,0.460180,0.494633,0.483206,-0.034453,0.500000,val_gen_auc_avg,0.502078,9.890738e-05
40,0.749688,0.325265,0.347935,0.345879,0.834495,0.812566,2.968741,0.516101,0.493421,0.560122,0.507519,0.174164,0.172563,0.573580,0.378116,0.341932,0.195464,0.559211,val_gen_auc_avg,0.516101,9.567727e-05
60,0.719945,0.181089,0.307168,0.207907,0.680876,0.605840,2.417718,0.657029,0.546053,0.684154,0.545113,0.181662,0.167966,0.555748,0.411704,0.521295,0.034453,0.559211,val_gen_auc_avg,0.657029,9.045085e-05
80,0.641940,0.148334,0.291622,0.226436,0.680990,0.662728,2.097212,0.737708,0.618421,0.870937,0.631579,0.185466,0.175860,0.586219,0.597645,0.510042,-0.011427,0.519737,val_gen_auc_avg,0.737708,8.345653e-05
100,0.660522,0.128548,0.295964,0.103087,0.695878,0.688406,1.918248,0.678497,0.565789,0.869184,0.740602,0.189037,0.153712,0.645776,0.489439,0.460007,0.156337,0.605263,val_gen_auc_avg,0.678497,7.500000e-05
120,0.618732,0.538259,0.278248,0.418330,0.701721,0.630835,1.723033,0.744633,0.631579,0.835208,0.695489,0.190352,0.161127,0.673996,0.541724,0.438712,0.132271,0.592105,val_gen_auc_avg,0.744633,6.545085e-05
140,0.689324,0.081957,0.269540,0.051727,0.598497,0.726995,1.566891,0.690963,0.598684,0.846741,0.729323,0.196391,0.147927,0.700831,0.503289,0.575831,0.125000,0.592105,val_gen_auc_avg,0.690963,5.522642e-05
160,0.634069,0.246837,0.259233,0.268459,0.619784,0.608904,1.402011,0.652874,0.585526,0.814009,0.676692,0.199517,0.153143,0.690097,0.472472,0.478878,0.211219,0.546053,val_gen_auc_avg,0.652874,4.477358e-05
180,0.710149,0.075970,0.250258,0.037854,0.695155,0.647226,1.320142,0.707756,0.638158,0.831534,0.684211,0.197185,0.152546,0.711565,0.452216,0.536704,0.174861,0.572368,val_gen_auc_avg,0.707756,3.454915e-05
200,0.637615,0.053401,0.254282,0.029918,0.746161,0.645374,1.254681,0.687846,0.631579,0.798406,0.703008,0.190402,0.147623,0.666898,0.467452,0.594529,0.072368,0.519737,val_gen_auc_avg,0.687846,2.500000e-05
220,0.584267,0.065921,0.239693,0.017577,0.754388,0.642528,1.150633,0.668802,0.644737,0.805416,0.721805,0.177685,0.141978,0.644737,0.476627,0.566655,0.078082,0.513158,val_gen_auc_avg,0.668802,1.654347e-05
240,0.699953,0.050532,0.245941,0.025476,0.719009,0.653661,1.094409,0.680055,0.651316,0.796144,0.751880,0.179360,0.135427,0.635042,0.447368,0.484765,0.150277,0.526316,val_gen_auc_avg,0.680055,9.549150e-06
260,0.637585,0.059437,0.237118,0.020804,0.670432,0.760336,1.043930,0.696503,0.657895,0.793544,0.729323,0.173680,0.132330,0.664993,0.515062,0.455852,0.149931,0.572368,val_gen_auc_avg,0.696503,4.322727e-06
280,0.635100,0.072326,0.237043,0.024391,0.623176,0.769817,1.037719,0.681787,0.618421,0.802702,0.695489,0.175688,0.135979,0.713470,0.401489,0.483726,0.229744,0.526316,val_gen_auc_avg,0.681787,1.092620e-06
300,0.602017,0.274427,0.243821,0.220467,0.608909,0.721709,1.013529,0.644391,0.598684,0.793487,0.687970,0.175327,0.137019,0.653740,0.542244,0.581544,0.072195,0.539474,val_gen_auc_avg,0.644391,0.000000e+00
