epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.695514,0.5593,0.4522,0.5000,0.4493,9.972609e-05
2,0.523070,0.4407,0.4231,0.5038,0.4603,9.890738e-05
3,0.322926,0.4407,0.4312,0.4962,0.5714,9.755283e-05
4,0.152517,0.4407,0.5653,0.5000,0.5749,9.567727e-05
5,0.037304,0.4407,0.5326,0.5000,0.5170,9.330127e-05
6,0.009295,0.4407,0.5676,0.5000,0.5705,9.045085e-05
7,0.002617,0.4746,0.5886,0.5075,0.6158,8.715724e-05
8,0.001228,0.4407,0.6049,0.5038,0.7291,8.345653e-05
9,0.000749,0.4576,0.7331,0.5113,0.7622,7.938926e-05
10,0.000358,0.5424,0.7383,0.5789,0.7289,7.500000e-05
11,0.000472,0.6102,0.7552,0.6917,0.7932,7.033683e-05
12,0.000641,0.6780,0.7506,0.7444,0.7948,6.545085e-05
13,0.000193,0.6610,0.7494,0.6767,0.7557,6.039558e-05
14,0.000248,0.7627,0.7517,0.6767,0.7528,5.522642e-05
15,0.000182,0.7797,0.7564,0.6767,0.7575,5.000000e-05
16,0.000180,0.7797,0.7576,0.6842,0.7600,4.477358e-05
17,0.000100,0.7797,0.7576,0.6767,0.7592,3.960442e-05
18,0.000099,0.7627,0.7587,0.6579,0.7604,3.454915e-05
19,0.000204,0.7797,0.7669,0.6805,0.7678,2.966317e-05
20,0.000101,0.7627,0.7657,0.6842,0.7692,2.500000e-05
21,0.000085,0.7458,0.7657,0.6805,0.7703,2.061074e-05
22,0.000076,0.7458,0.7657,0.6842,0.7712,1.654347e-05
23,0.000092,0.7458,0.7657,0.6880,0.7717,1.284276e-05
24,0.000130,0.7627,0.7646,0.6805,0.7712,9.549150e-06
25,0.000068,0.7458,0.7634,0.6805,0.7701,6.698730e-06
26,0.000081,0.7458,0.7634,0.6880,0.7703,4.322727e-06
