epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.599230,2.305129,0.677162,0.717057,1.522493,1.514711,4.448544,0.460007,0.500000,0.525411,0.500000,0.032908,0.032940,0.495325,0.512292,0.510907,-0.016967,0.500000,val_gen_auc_avg,0.460007,9.999726e-05
20,0.923750,0.522684,0.401785,0.577970,1.018077,1.018185,3.522302,0.563539,0.500000,0.439765,0.500000,0.042613,0.046038,0.551420,0.520083,0.443733,0.031337,0.493421,val_gen_auc_avg,0.563539,9.890738e-05
40,0.801773,0.292699,0.355229,0.497198,0.773517,0.824768,2.700301,0.481821,0.500000,0.552603,0.500000,0.029736,0.027313,0.508830,0.485111,0.476627,0.023719,0.500000,val_gen_auc_avg,0.481821,9.567727e-05
60,0.684602,0.309129,0.338842,0.426452,0.737715,0.685348,2.338678,0.670533,0.500000,0.658206,0.500000,0.089284,0.050341,0.506579,0.466759,0.517313,-0.010734,0.493421,val_gen_auc_avg,0.670533,9.045085e-05
80,0.625511,0.336328,0.311903,0.357909,0.736386,0.781817,2.142032,0.615132,0.519737,0.781390,0.503759,0.196998,0.090766,0.611496,0.563019,0.578601,0.032895,0.598684,val_gen_auc_avg,0.615132,8.345653e-05
100,0.646494,0.173230,0.306168,0.139125,0.714392,0.761218,1.968143,0.644044,0.605263,0.818644,0.646617,0.196081,0.130598,0.612708,0.549861,0.510042,0.062846,0.565789,val_gen_auc_avg,0.644044,7.500000e-05
120,0.705055,0.076514,0.292532,0.087316,0.733275,0.650781,1.798536,0.640755,0.598684,0.843462,0.736842,0.172831,0.133029,0.617209,0.529778,0.463816,0.087431,0.559211,val_gen_auc_avg,0.640755,6.545085e-05
140,0.664329,0.099632,0.277984,0.084795,0.769300,0.626732,1.668779,0.584141,0.546053,0.838600,0.751880,0.186764,0.127399,0.627770,0.516101,0.527181,0.100589,0.644737,val_gen_auc_avg,0.584141,5.522642e-05
160,0.713759,0.088575,0.270620,0.058210,0.643174,0.629095,1.482419,0.542590,0.526316,0.822997,0.740602,0.201685,0.146970,0.664993,0.556614,0.539301,0.108380,0.605263,val_gen_auc_avg,0.542590,4.477358e-05
180,0.677136,0.135974,0.275481,0.093026,0.730277,0.669304,1.410387,0.556787,0.539474,0.815139,0.763158,0.190892,0.125221,0.623096,0.499827,0.506579,0.116517,0.565789,val_gen_auc_avg,0.556787,3.454915e-05
200,0.716420,0.048112,0.261348,0.035275,0.772520,0.680344,1.262029,0.548476,0.546053,0.810843,0.740602,0.180112,0.133161,0.677112,0.528913,0.414820,0.148199,0.625000,val_gen_auc_avg,0.548476,2.500000e-05
220,0.682533,0.093758,0.261242,0.102904,0.717685,0.671935,1.229482,0.579813,0.578947,0.808073,0.740602,0.127214,0.119543,0.600935,0.537396,0.606129,-0.005194,0.585526,val_gen_auc_avg,0.579813,1.654347e-05
240,0.629672,0.105217,0.253025,0.090834,0.761153,0.628169,1.153292,0.582064,0.585526,0.786534,0.721805,0.108949,0.105748,0.538262,0.516620,0.485457,0.021641,0.532895,val_gen_auc_avg,0.582064,9.549150e-06
260,0.680000,0.154136,0.264359,0.117594,0.802850,0.780717,1.131948,0.586565,0.611842,0.770931,0.718045,0.104222,0.089106,0.622576,0.549342,0.479571,0.073234,0.598684,val_gen_auc_avg,0.586565,4.322727e-06
280,0.669211,0.086323,0.240110,0.043056,0.735524,0.745195,1.103485,0.626731,0.592105,0.774832,0.733083,0.078938,0.086672,0.601281,0.465201,0.436288,0.136080,0.598684,val_gen_auc_avg,0.626731,1.092620e-06
300,0.691838,0.074351,0.258850,0.040060,0.791364,0.732009,1.087568,0.581544,0.598684,0.765165,0.736842,0.088326,0.080610,0.630367,0.493075,0.510215,0.120152,0.592105,val_gen_auc_avg,0.581544,0.000000e+00
