epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.670811,0.5424,0.4068,0.4925,0.2968,9.972609e-05
2,0.476021,0.5424,0.4266,0.5000,0.5554,9.890738e-05
3,0.292202,0.5593,0.4184,0.5000,0.5139,9.755283e-05
4,0.137749,0.5763,0.5350,0.5188,0.7293,9.567727e-05
5,0.042394,0.6102,0.6503,0.5451,0.6646,9.330127e-05
6,0.011872,0.6610,0.6865,0.5902,0.5941,9.045085e-05
7,0.002647,0.4576,0.6422,0.5263,0.6645,8.715724e-05
8,0.000761,0.4237,0.5664,0.5075,0.7168,8.345653e-05
9,0.000468,0.4407,0.5769,0.5226,0.7634,7.938926e-05
10,0.000290,0.5254,0.6632,0.5865,0.8259,7.500000e-05
11,0.000368,0.5932,0.7191,0.7331,0.8492,7.033683e-05
12,0.000178,0.6780,0.7436,0.8008,0.8504,6.545085e-05
13,0.000196,0.6949,0.7599,0.8083,0.8496,6.039558e-05
14,0.000104,0.7288,0.7751,0.7970,0.8532,5.522642e-05
15,0.000106,0.7288,0.7890,0.7895,0.8547,5.000000e-05
16,0.000094,0.7797,0.7972,0.7744,0.8536,4.477358e-05
17,0.000147,0.7797,0.8007,0.7669,0.8530,3.960442e-05
18,0.000103,0.7966,0.8054,0.7594,0.8517,3.454915e-05
19,0.000070,0.7797,0.8042,0.7594,0.8517,2.966317e-05
20,0.000114,0.7627,0.8054,0.7594,0.8522,2.500000e-05
21,0.000079,0.7627,0.8065,0.7669,0.8517,2.061074e-05
22,0.000069,0.7797,0.8100,0.7594,0.8516,1.654347e-05
23,0.000081,0.7966,0.8100,0.7594,0.8523,1.284276e-05
24,0.000116,0.7797,0.8112,0.7594,0.8521,9.549150e-06
25,0.000076,0.7797,0.8112,0.7594,0.8520,6.698730e-06
26,0.000077,0.7797,0.8089,0.7632,0.8523,4.322727e-06
27,0.000077,0.7627,0.8100,0.7594,0.8523,2.447174e-06
28,0.000088,0.7797,0.8100,0.7594,0.8520,1.092620e-06
29,0.000066,0.7797,0.8112,0.7594,0.8518,2.739052e-07
30,0.000064,0.7797,0.8100,0.7594,0.8519,0.000000e+00
