epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.685767,0.5593,0.4802,0.5000,0.5443,9.972609e-05
2,0.512718,0.5424,0.4755,0.5150,0.5711,9.890738e-05
3,0.331212,0.5254,0.5466,0.5376,0.5541,9.755283e-05
4,0.157872,0.4915,0.5326,0.4962,0.4979,9.567727e-05
5,0.043186,0.4407,0.5758,0.5000,0.4909,9.330127e-05
6,0.013659,0.4407,0.6527,0.5000,0.5484,9.045085e-05
7,0.002798,0.4407,0.7465,0.5000,0.6420,8.715724e-05
8,0.000927,0.4407,0.7541,0.5000,0.7162,8.345653e-05
9,0.000602,0.4746,0.7727,0.5075,0.7943,7.938926e-05
10,0.000299,0.6780,0.7727,0.6729,0.8222,7.500000e-05
11,0.000243,0.7119,0.7844,0.7820,0.8375,7.033683e-05
12,0.000176,0.7797,0.7902,0.7594,0.8468,6.545085e-05
13,0.000147,0.7966,0.8007,0.7519,0.8486,6.039558e-05
14,0.000175,0.7458,0.8030,0.7444,0.8467,5.522642e-05
15,0.000117,0.7627,0.8077,0.7406,0.8449,5.000000e-05
16,0.000139,0.7627,0.8112,0.7406,0.8432,4.477358e-05
17,0.000087,0.7627,0.8124,0.7406,0.8438,3.960442e-05
18,0.000089,0.7627,0.8135,0.7406,0.8444,3.454915e-05
19,0.000163,0.7797,0.8135,0.7406,0.8441,2.966317e-05
20,0.000086,0.7797,0.8135,0.7481,0.8455,2.500000e-05
21,0.000086,0.7627,0.8135,0.7444,0.8453,2.061074e-05
22,0.000078,0.7627,0.8112,0.7406,0.8453,1.654347e-05
23,0.000073,0.7627,0.8124,0.7406,0.8448,1.284276e-05
24,0.000128,0.7627,0.8135,0.7444,0.8443,9.549150e-06
25,0.000066,0.7627,0.8135,0.7481,0.8440,6.698730e-06
