epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.596540,1.545708,0.564728,0.724712,1.674557,1.670049,4.050921,0.435249,0.500000,0.461304,0.500000,0.050729,0.050598,0.482514,0.463123,0.516101,-0.033587,0.506579,val_gen_auc_avg,0.435249,9.999726e-05
20,0.969000,0.462297,0.392787,0.482792,0.926918,0.978991,3.613522,0.540686,0.500000,0.526203,0.500000,0.094156,0.085933,0.554536,0.448580,0.560076,-0.005540,0.500000,val_gen_auc_avg,0.540686,9.890738e-05
40,0.755681,0.400090,0.334572,0.452803,0.806733,0.790213,2.870257,0.588816,0.500000,0.625021,0.500000,0.096218,0.092116,0.559557,0.546572,0.365478,0.012985,0.519737,val_gen_auc_avg,0.588816,9.567727e-05
60,0.715383,0.155175,0.325275,0.168644,0.782651,0.776547,2.490778,0.684037,0.500000,0.760077,0.500000,0.084086,0.066522,0.661877,0.508830,0.491690,0.153047,0.500000,val_gen_auc_avg,0.684037,9.045085e-05
80,0.707824,0.141109,0.303839,0.103864,0.672332,0.662129,2.173481,0.759003,0.506579,0.829385,0.500000,0.104631,0.082977,0.599896,0.525970,0.504501,0.073927,0.526316,val_gen_auc_avg,0.759003,8.345653e-05
100,0.682500,0.096879,0.277077,0.043977,0.773557,0.728773,1.911925,0.764024,0.532895,0.840805,0.511278,0.125289,0.088618,0.637985,0.507964,0.507271,0.130021,0.539474,val_gen_auc_avg,0.764024,7.500000e-05
120,0.709437,0.198495,0.265681,0.181612,0.600261,0.645977,1.669799,0.726801,0.519737,0.878286,0.563910,0.138651,0.103558,0.702735,0.470222,0.540686,0.162050,0.552632,val_gen_auc_avg,0.726801,6.545085e-05
140,0.688964,0.094961,0.251463,0.053830,0.720704,0.688284,1.521104,0.769737,0.598684,0.864322,0.556391,0.151937,0.105827,0.652528,0.495325,0.457583,0.157202,0.546053,val_gen_auc_avg,0.769737,5.522642e-05
160,0.563857,0.107714,0.251308,0.106238,0.626756,0.658046,1.329164,0.737708,0.618421,0.859404,0.586466,0.144086,0.108557,0.711219,0.552805,0.525970,0.158414,0.552632,val_gen_auc_avg,0.737708,4.477358e-05
180,0.621686,0.134218,0.258899,0.099682,0.628653,0.674200,1.244252,0.753982,0.611842,0.877494,0.639098,0.158083,0.118662,0.743767,0.530817,0.546572,0.197195,0.572368,val_gen_auc_avg,0.753982,3.454915e-05
200,0.706020,0.062286,0.256032,0.028665,0.853826,0.745673,1.146978,0.710699,0.618421,0.848324,0.669173,0.163775,0.121245,0.746018,0.502424,0.478186,0.243594,0.572368,val_gen_auc_avg,0.710699,2.500000e-05
220,0.671491,0.057338,0.241853,0.030162,0.717800,0.612026,1.102454,0.750693,0.671053,0.842388,0.661654,0.139675,0.115546,0.716932,0.498096,0.500693,0.216240,0.565789,val_gen_auc_avg,0.750693,1.654347e-05
240,0.680926,0.058805,0.245090,0.020191,0.748907,0.546833,1.041285,0.739785,0.717105,0.867827,0.718045,0.135254,0.115584,0.747057,0.564578,0.494287,0.182479,0.611842,val_gen_auc_avg,0.739785,9.549150e-06
260,0.651313,0.036731,0.240985,0.016212,0.599446,0.717862,1.014651,0.744979,0.710526,0.868845,0.759398,0.130436,0.112008,0.694079,0.512292,0.503636,0.181787,0.565789,val_gen_auc_avg,0.744979,4.322727e-06
280,0.654190,0.092344,0.248915,0.073900,0.706919,0.797112,1.012755,0.770949,0.690789,0.855899,0.744361,0.120118,0.102408,0.732514,0.452735,0.583968,0.148546,0.605263,val_gen_auc_avg,0.770949,1.092620e-06
300,0.637845,0.057894,0.237459,0.035869,0.813316,0.652445,0.974297,0.739093,0.690789,0.853807,0.770677,0.128535,0.099279,0.720741,0.510907,0.541724,0.179017,0.552632,val_gen_auc_avg,0.739093,0.000000e+00
