epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.448480,2.198627,0.642086,0.793561,1.458173,1.464343,3.706197,0.404259,0.500000,0.457573,0.500000,0.035681,0.032143,0.547438,0.457583,0.540859,0.006579,0.500000,val_gen_auc_avg,0.404259,9.999726e-05
20,0.951584,0.433931,0.404390,0.504894,1.046717,1.018382,3.421370,0.546572,0.500000,0.489909,0.500000,0.043510,0.048827,0.480956,0.463123,0.489612,-0.008657,0.500000,val_gen_auc_avg,0.546572,9.890738e-05
40,0.879309,0.390096,0.355255,0.423602,0.950577,1.023097,2.678929,0.485803,0.500000,0.460230,0.500000,0.046553,0.045502,0.535665,0.440097,0.477147,0.058518,0.500000,val_gen_auc_avg,0.485803,9.567727e-05
60,0.722394,0.259937,0.316079,0.234220,0.807499,0.808716,2.359212,0.723511,0.500000,0.704053,0.500000,0.078496,0.078185,0.551247,0.470741,0.554017,-0.002770,0.486842,val_gen_auc_avg,0.723511,9.045085e-05
80,0.713208,0.184116,0.303314,0.174058,0.773444,0.849764,2.102324,0.758830,0.519737,0.808355,0.518797,0.150594,0.125477,0.702043,0.561461,0.523546,0.140582,0.559211,val_gen_auc_avg,0.758830,8.345653e-05
100,0.679167,0.085394,0.312116,0.052175,0.703011,0.786691,1.854737,0.777874,0.638158,0.850981,0.665414,0.182746,0.166811,0.716932,0.563366,0.510734,0.153566,0.585526,val_gen_auc_avg,0.777874,7.500000e-05
120,0.754408,0.070184,0.283851,0.075199,0.719554,0.674154,1.648792,0.743594,0.664474,0.868223,0.781955,0.178608,0.174869,0.665166,0.586565,0.481475,0.078601,0.532895,val_gen_auc_avg,0.743594,6.545085e-05
140,0.682591,0.093466,0.261690,0.045269,0.755388,0.654271,1.554130,0.738747,0.671053,0.844819,0.763158,0.174314,0.175575,0.769391,0.498961,0.542936,0.226454,0.644737,val_gen_auc_avg,0.738747,5.522642e-05
160,0.701069,0.136332,0.262356,0.048452,0.640867,0.648880,1.417728,0.757271,0.723684,0.833625,0.793233,0.161684,0.162849,0.771295,0.523199,0.450485,0.248096,0.703947,val_gen_auc_avg,0.757271,4.477358e-05
180,0.692796,0.074001,0.265055,0.024854,0.724648,0.696578,1.365828,0.738227,0.730263,0.849850,0.796992,0.141243,0.144301,0.747230,0.534280,0.543456,0.203774,0.644737,val_gen_auc_avg,0.738227,3.454915e-05
200,0.687026,0.066578,0.261509,0.021434,0.720606,0.665430,1.249448,0.730090,0.710526,0.835830,0.796992,0.134175,0.150065,0.767140,0.553843,0.543283,0.213296,0.690789,val_gen_auc_avg,0.730090,2.500000e-05
220,0.668537,0.050725,0.256792,0.016121,0.689778,0.656391,1.203343,0.718490,0.690789,0.819662,0.770677,0.160307,0.146909,0.745672,0.480436,0.512985,0.232687,0.671053,val_gen_auc_avg,0.718490,1.654347e-05
240,0.628795,0.062163,0.247324,0.032600,0.741955,0.633391,1.150792,0.716932,0.710526,0.813330,0.766917,0.141908,0.141361,0.700658,0.541724,0.481129,0.158934,0.559211,val_gen_auc_avg,0.716932,9.549150e-06
260,0.687601,0.164175,0.262441,0.121231,0.785061,0.791816,1.136602,0.741690,0.730263,0.787043,0.729323,0.145461,0.145333,0.733553,0.525970,0.533934,0.199619,0.644737,val_gen_auc_avg,0.741690,4.322727e-06
280,0.663083,0.060110,0.243698,0.014548,0.704768,0.755072,1.106953,0.759349,0.723684,0.809656,0.748120,0.138732,0.141249,0.719183,0.475242,0.483206,0.235976,0.651316,val_gen_auc_avg,0.759349,1.092620e-06
300,0.696105,0.070546,0.253066,0.009674,0.757376,0.736917,1.091662,0.805575,0.736842,0.754706,0.729323,0.138913,0.140111,0.745152,0.470568,0.523373,0.221780,0.664474,val_gen_auc_avg,0.805575,0.000000e+00
