epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.537391,1.896202,0.602606,0.707458,1.523235,1.550957,3.797959,0.520602,0.500000,0.482334,0.500000,0.027804,0.025652,0.432479,0.490132,0.525277,-0.092798,0.500000,val_gen_auc_avg,0.520602,9.999726e-05
20,0.807601,0.460182,0.386754,0.472094,0.862301,0.893002,3.406149,0.436288,0.500000,0.512692,0.500000,0.028832,0.027841,0.491517,0.569598,0.488054,-0.078082,0.500000,val_gen_auc_avg,0.436288,9.890738e-05
40,0.726088,0.339373,0.354296,0.343492,0.741738,0.772674,2.831051,0.592452,0.500000,0.602747,0.500000,0.035889,0.030462,0.548996,0.562846,0.525104,-0.013850,0.500000,val_gen_auc_avg,0.592452,9.567727e-05
60,0.753247,0.184123,0.348224,0.153208,0.676861,0.713569,2.476044,0.700658,0.493421,0.737577,0.500000,0.072769,0.058340,0.582583,0.489093,0.418109,0.093490,0.500000,val_gen_auc_avg,0.700658,9.045085e-05
80,0.635866,0.180815,0.325744,0.288591,0.681035,0.659978,2.237680,0.762985,0.500000,0.828877,0.500000,0.098191,0.093024,0.609765,0.643871,0.408414,-0.034107,0.473684,val_gen_auc_avg,0.762985,8.345653e-05
100,0.682493,0.105472,0.306644,0.055499,0.655359,0.663310,2.035764,0.809557,0.506579,0.825202,0.507519,0.112181,0.093744,0.586565,0.416205,0.539474,0.047091,0.500000,val_gen_auc_avg,0.809557,7.500000e-05
120,0.605056,0.119365,0.290358,0.128085,0.570617,0.621838,1.826875,0.682999,0.500000,0.752841,0.500000,0.058518,0.060534,0.605436,0.564058,0.564578,0.040859,0.519737,val_gen_auc_avg,0.682999,6.545085e-05
140,0.574181,0.189195,0.281550,0.112603,0.660032,0.625694,1.645522,0.716066,0.493421,0.744813,0.500000,0.051224,0.044736,0.660838,0.494633,0.457064,0.166205,0.500000,val_gen_auc_avg,0.716066,5.522642e-05
160,0.641264,0.095439,0.266599,0.045659,0.659597,0.705407,1.510528,0.644044,0.500000,0.697383,0.496241,0.049477,0.041954,0.623961,0.528047,0.554709,0.069252,0.506579,val_gen_auc_avg,0.644044,4.477358e-05
180,0.603830,0.053135,0.261950,0.025668,0.571345,0.620800,1.419425,0.636080,0.506579,0.752671,0.500000,0.053499,0.045938,0.671226,0.547091,0.581025,0.090201,0.506579,val_gen_auc_avg,0.636080,3.454915e-05
200,0.602035,0.099207,0.269401,0.076689,0.689580,0.581279,1.325168,0.643525,0.506579,0.730906,0.503759,0.074610,0.065833,0.678843,0.519910,0.619287,0.059557,0.506579,val_gen_auc_avg,0.643525,2.500000e-05
220,0.676562,0.063560,0.265622,0.020978,0.766295,0.738963,1.289040,0.733206,0.506579,0.801006,0.507519,0.092012,0.073016,0.696676,0.456544,0.515928,0.180748,0.546053,val_gen_auc_avg,0.733206,1.654347e-05
240,0.584210,0.059719,0.244497,0.015588,0.685906,0.729183,1.242348,0.743248,0.526316,0.775962,0.511278,0.091026,0.087467,0.713470,0.540339,0.526489,0.173130,0.559211,val_gen_auc_avg,0.743248,9.549150e-06
260,0.642037,0.269004,0.262675,0.235583,0.724832,0.647270,1.226194,0.724030,0.506579,0.807451,0.507519,0.110054,0.089467,0.670706,0.503289,0.500866,0.167417,0.506579,val_gen_auc_avg,0.724030,4.322727e-06
280,0.531349,0.254213,0.263226,0.224862,0.647747,0.640820,1.202480,0.788781,0.493421,0.808469,0.518797,0.111702,0.094475,0.701004,0.439578,0.506925,0.194079,0.539474,val_gen_auc_avg,0.788781,1.092620e-06
300,0.631354,0.048228,0.248745,0.017448,0.686975,0.567129,1.149540,0.730436,0.519737,0.819492,0.518797,0.109142,0.095573,0.735630,0.539820,0.575485,0.160145,0.539474,val_gen_auc_avg,0.730436,0.000000e+00
