epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.599946,0.3958,0.4850,0.5084,0.5312,9.972609e-05
2,0.355050,0.4375,0.5450,0.5000,0.6648,9.890738e-05
3,0.218242,0.4375,0.5697,0.5000,0.6521,9.755283e-05
4,0.114091,0.4375,0.6437,0.5000,0.6689,9.567727e-05
5,0.043219,0.4375,0.6296,0.5042,0.6728,9.330127e-05
6,0.015594,0.4375,0.6279,0.5000,0.6716,9.045085e-05
7,0.004605,0.4375,0.6914,0.5000,0.6769,8.715724e-05
8,0.002829,0.4375,0.6966,0.5252,0.6896,8.345653e-05
9,0.000747,0.4375,0.7072,0.5714,0.6903,7.938926e-05
10,0.000699,0.5000,0.7407,0.5924,0.7093,7.500000e-05
11,0.000429,0.5208,0.7672,0.5798,0.7177,7.033683e-05
12,0.000525,0.6250,0.7972,0.6807,0.7214,6.545085e-05
13,0.000260,0.7292,0.7954,0.6975,0.7286,6.039558e-05
14,0.000236,0.7083,0.8131,0.7059,0.7343,5.522642e-05
15,0.000205,0.7292,0.8113,0.7185,0.7396,5.000000e-05
16,0.000318,0.7292,0.8148,0.7185,0.7422,4.477358e-05
17,0.000210,0.7292,0.8166,0.7227,0.7468,3.960442e-05
18,0.000162,0.7917,0.8219,0.7101,0.7469,3.454915e-05
19,0.000133,0.7917,0.8342,0.7059,0.7494,2.966317e-05
20,0.000155,0.8125,0.8325,0.7185,0.7509,2.500000e-05
21,0.000121,0.7917,0.8236,0.7185,0.7516,2.061074e-05
22,0.000125,0.7708,0.8201,0.7185,0.7523,1.654347e-05
23,0.000235,0.7708,0.8183,0.7185,0.7516,1.284276e-05
24,0.000153,0.7708,0.8201,0.7185,0.7523,9.549150e-06
25,0.000116,0.7708,0.8254,0.7227,0.7526,6.698730e-06
26,0.000137,0.7708,0.8254,0.7227,0.7527,4.322727e-06
