epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.573879,0.5000,0.6138,0.5294,0.5752,9.972609e-05
2,0.295137,0.4375,0.7125,0.5000,0.6526,9.890738e-05
3,0.161460,0.4375,0.5979,0.5000,0.6053,9.755283e-05
4,0.059610,0.4375,0.6667,0.5000,0.6414,9.567727e-05
5,0.019878,0.4375,0.7055,0.5000,0.7049,9.330127e-05
6,0.008486,0.4375,0.7760,0.5042,0.7182,9.045085e-05
7,0.002670,0.4375,0.8201,0.5336,0.6973,8.715724e-05
8,0.001727,0.4583,0.8360,0.5462,0.6697,8.345653e-05
9,0.000743,0.5000,0.8519,0.5630,0.6804,7.938926e-05
10,0.000753,0.5833,0.8519,0.5840,0.7048,7.500000e-05
11,0.000465,0.6250,0.8607,0.6849,0.7149,7.033683e-05
12,0.000669,0.7500,0.8448,0.6765,0.7169,6.545085e-05
13,0.000352,0.7083,0.8377,0.6933,0.7145,6.039558e-05
14,0.000342,0.7292,0.8307,0.6807,0.7165,5.522642e-05
15,0.000302,0.7083,0.8289,0.6723,0.7222,5.000000e-05
16,0.000488,0.6875,0.8325,0.6723,0.7270,4.477358e-05
17,0.000307,0.7292,0.8325,0.6681,0.7255,3.960442e-05
18,0.000243,0.7708,0.8289,0.6723,0.7239,3.454915e-05
