epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.538852,2.251757,0.658766,0.711822,1.534809,1.549352,4.077913,0.527874,0.500000,0.565888,0.500000,0.027562,0.026101,0.586046,0.502597,0.538435,0.047611,0.500000,val_gen_auc_avg,0.527874,9.999726e-05
20,0.911789,0.554776,0.418163,0.593758,0.948387,1.000695,3.763524,0.566655,0.500000,0.542936,0.500000,0.052596,0.053317,0.601454,0.544494,0.522334,0.056960,0.493421,val_gen_auc_avg,0.566655,9.890738e-05
40,0.809441,0.337488,0.361983,0.514251,0.807998,0.741967,2.997045,0.567001,0.500000,0.531121,0.500000,0.056031,0.058131,0.561115,0.504328,0.525623,0.035492,0.500000,val_gen_auc_avg,0.567001,9.567727e-05
60,0.817497,0.328637,0.325263,0.364094,0.781419,0.705144,2.609424,0.554190,0.500000,0.613432,0.500000,0.078598,0.065758,0.471260,0.510734,0.565789,-0.094529,0.486842,val_gen_auc_avg,0.554190,9.045085e-05
80,0.690259,0.283010,0.316115,0.417649,0.704835,0.674742,2.429829,0.596953,0.500000,0.652892,0.500000,0.119173,0.099757,0.450658,0.525104,0.548823,-0.098165,0.473684,val_gen_auc_avg,0.596953,8.345653e-05
100,0.771369,0.163625,0.279952,0.220203,0.787943,0.788494,2.345567,0.537396,0.486842,0.704958,0.500000,0.175151,0.138226,0.474550,0.464855,0.474550,-0.000000,0.473684,val_gen_auc_avg,0.537396,7.500000e-05
120,0.693986,0.313253,0.301448,0.322196,0.758276,0.652457,2.130392,0.587084,0.532895,0.726949,0.515038,0.210818,0.175966,0.547265,0.530990,0.461392,0.016274,0.532895,val_gen_auc_avg,0.587084,6.545085e-05
140,0.758970,0.063766,0.281933,0.079036,0.681513,0.804347,2.033305,0.458795,0.486842,0.706541,0.556391,0.259829,0.204869,0.575312,0.481994,0.494979,0.080332,0.532895,val_gen_auc_avg,0.458795,5.522642e-05
160,0.694872,0.257639,0.252937,0.215289,0.694512,0.671571,1.869345,0.555229,0.473684,0.595624,0.533835,0.248184,0.239188,0.498442,0.478186,0.545706,-0.047265,0.460526,val_gen_auc_avg,0.555229,4.477358e-05
180,0.752497,0.085599,0.267283,0.033318,0.740557,0.700970,1.762911,0.524931,0.486842,0.551133,0.500000,0.238789,0.232736,0.587084,0.436981,0.502597,0.084488,0.539474,val_gen_auc_avg,0.524931,3.454915e-05
200,0.699540,0.087423,0.251582,0.038055,0.829234,0.706820,1.637082,0.579467,0.486842,0.575160,0.526316,0.229939,0.254413,0.534453,0.487881,0.551766,-0.017313,0.539474,val_gen_auc_avg,0.579467,2.500000e-05
220,0.645959,0.093891,0.254556,0.080390,0.838892,0.700838,1.509991,0.509349,0.480263,0.636780,0.560150,0.272216,0.234533,0.635042,0.542244,0.499481,0.092798,0.611842,val_gen_auc_avg,0.509349,1.654347e-05
240,0.754716,0.041407,0.256421,0.014744,0.797857,0.707536,1.384867,0.563712,0.500000,0.694952,0.601504,0.273991,0.228596,0.596260,0.444598,0.478705,0.117555,0.552632,val_gen_auc_avg,0.563712,9.549150e-06
260,0.658208,0.065253,0.253612,0.040275,0.720951,0.779201,1.350356,0.595048,0.539474,0.713947,0.635338,0.270337,0.219732,0.615132,0.561634,0.444252,0.053497,0.552632,val_gen_auc_avg,0.595048,4.322727e-06
280,0.662531,0.066096,0.250461,0.027918,0.686592,0.801992,1.294945,0.671053,0.605263,0.714229,0.624060,0.249798,0.205973,0.631579,0.438019,0.453255,0.178324,0.578947,val_gen_auc_avg,0.671053,1.092620e-06
300,0.625391,0.269236,0.256701,0.223159,0.655670,0.746060,1.270013,0.612881,0.565789,0.732941,0.669173,0.234554,0.195965,0.550554,0.512465,0.594356,-0.043802,0.539474,val_gen_auc_avg,0.612881,0.000000e+00
