epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.315968,1.794909,0.635185,0.688648,1.401766,1.382561,3.732068,0.453061,0.500000,0.482452,0.500000,0.134753,0.133033,0.455510,0.546939,0.535510,-0.091429,0.514286,val_gen_auc_avg,0.453061,9.999726e-05
20,1.252153,0.720654,0.482940,0.461309,1.144520,1.276682,3.573296,0.544490,0.500000,0.518113,0.483193,0.230356,0.226551,0.634286,0.453061,0.676735,-0.042449,0.600000,val_gen_auc_avg,0.544490,9.890738e-05
40,0.862764,0.547196,0.462326,0.366369,1.067839,1.028908,3.266877,0.656327,0.528571,0.504625,0.483193,0.185583,0.193540,0.514286,0.566531,0.566531,-0.052245,0.528571,val_gen_auc_avg,0.656327,9.567727e-05
60,0.748379,0.457337,0.440624,0.238947,0.719218,0.831616,3.098569,0.604898,0.514286,0.640280,0.537815,0.156677,0.202150,0.494694,0.684082,0.488980,-0.189388,0.514286,val_gen_auc_avg,0.604898,9.045085e-05
80,0.820643,0.353989,0.474996,0.277826,0.784774,0.924498,2.928548,0.597551,0.642857,0.728197,0.693277,0.191356,0.203154,0.655510,0.524898,0.488163,0.130612,0.557143,val_gen_auc_avg,0.597551,8.345653e-05
100,0.687456,0.321560,0.423199,0.186922,0.786906,0.757445,2.989824,0.706122,0.685714,0.744227,0.726891,0.165063,0.140076,0.574694,0.654694,0.404898,-0.080000,0.571429,val_gen_auc_avg,0.706122,7.500000e-05
120,0.659604,0.228204,0.427438,0.101087,0.699526,0.674327,2.929169,0.666122,0.657143,0.717887,0.714286,0.129767,0.106868,0.699592,0.500408,0.392653,0.199184,0.642857,val_gen_auc_avg,0.666122,6.545085e-05
140,0.649842,0.179674,0.409094,0.071847,0.663158,0.666324,2.857332,0.775510,0.685714,0.751218,0.714286,0.098673,0.073193,0.760816,0.457143,0.600816,0.160000,0.657143,val_gen_auc_avg,0.775510,5.522642e-05
160,0.695872,0.133234,0.399426,0.039668,0.567313,0.705566,2.834920,0.718367,0.671429,0.749382,0.705882,0.094922,0.062202,0.722449,0.457959,0.506122,0.216327,0.700000,val_gen_auc_avg,0.718367,4.477358e-05
180,0.619395,0.151979,0.385040,0.026836,0.667112,0.692078,2.792850,0.719184,0.700000,0.746487,0.710084,0.095402,0.053105,0.755918,0.410612,0.484898,0.271020,0.671429,val_gen_auc_avg,0.719184,3.454915e-05
200,0.570833,0.429923,0.396755,0.328461,0.654917,0.640612,2.724911,0.731429,0.685714,0.741191,0.705882,0.073071,0.049886,0.774694,0.453061,0.373061,0.321633,0.728571,val_gen_auc_avg,0.731429,2.500000e-05
220,0.610590,0.204342,0.395724,0.090610,0.596555,0.631641,2.495066,0.680816,0.671429,0.761881,0.705882,0.075084,0.048979,0.671837,0.541224,0.529796,0.130612,0.642857,val_gen_auc_avg,0.680816,1.654347e-05
240,0.603092,0.150369,0.375494,0.027826,0.682917,0.625715,2.473712,0.700408,0.671429,0.743309,0.693277,0.092118,0.044485,0.667755,0.452245,0.439184,0.215510,0.614286,val_gen_auc_avg,0.700408,9.549150e-06
260,0.656872,0.115824,0.377245,0.034179,0.575459,0.595719,2.313869,0.759184,0.671429,0.722548,0.689076,0.066402,0.052284,0.739592,0.508571,0.506939,0.231020,0.685714,val_gen_auc_avg,0.759184,4.322727e-06
280,0.629466,0.134472,0.356945,0.019821,0.624815,0.652557,2.246915,0.663673,0.685714,0.752701,0.693277,0.069312,0.038757,0.695510,0.567347,0.495510,0.128163,0.685714,val_gen_auc_avg,0.663673,1.092620e-06
300,0.614901,0.124332,0.380000,0.014800,0.620156,0.645337,2.156008,0.716735,0.671429,0.719794,0.689076,0.092417,0.044094,0.767347,0.419592,0.444898,0.322449,0.742857,val_gen_auc_avg,0.716735,0.000000e+00
