epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.605287,1.409466,0.749197,0.723906,1.538134,1.553280,4.424285,0.653878,0.557143,0.505614,0.491597,0.211603,0.209184,0.434286,0.457143,0.542041,-0.107755,0.414286,val_gen_auc_avg,0.653878,9.999726e-05
20,1.118071,0.644984,0.476002,0.474251,1.062600,1.118896,3.974085,0.628571,0.485714,0.563731,0.491597,0.192016,0.189075,0.522449,0.573061,0.548571,-0.050612,0.542857,val_gen_auc_avg,0.628571,9.890738e-05
40,0.852818,0.583019,0.450283,0.429210,0.945460,0.942808,3.058657,0.670204,0.514286,0.644587,0.533613,0.160602,0.167837,0.461224,0.495510,0.564082,-0.102857,0.528571,val_gen_auc_avg,0.670204,9.567727e-05
60,0.796185,0.340613,0.467790,0.315914,0.948447,0.920233,2.733357,0.692245,0.500000,0.714427,0.588235,0.136592,0.199062,0.414694,0.513469,0.525714,-0.111020,0.457143,val_gen_auc_avg,0.692245,9.045085e-05
80,0.768464,0.206611,0.435598,0.129296,0.796098,0.826691,2.615136,0.698776,0.514286,0.707577,0.642857,0.149704,0.194618,0.663673,0.387755,0.404898,0.258776,0.614286,val_gen_auc_avg,0.698776,8.345653e-05
100,0.726961,0.253017,0.424995,0.081691,0.828900,0.753527,2.548139,0.793469,0.600000,0.768307,0.705882,0.129926,0.172863,0.722449,0.450612,0.422857,0.271837,0.700000,val_gen_auc_avg,0.793469,7.500000e-05
120,0.672269,0.135324,0.429804,0.116898,0.713893,0.672639,2.475837,0.796735,0.614286,0.730033,0.663866,0.120093,0.120006,0.741224,0.364898,0.552653,0.188571,0.657143,val_gen_auc_avg,0.796735,6.545085e-05
140,0.659203,0.295599,0.398482,0.097891,0.703245,0.688953,2.394924,0.857143,0.628571,0.724808,0.672269,0.090640,0.104369,0.726531,0.496327,0.640000,0.086531,0.685714,val_gen_auc_avg,0.857143,5.522642e-05
160,0.670164,0.169557,0.402457,0.055362,0.595447,0.646335,2.349159,0.762449,0.642857,0.747405,0.680672,0.089991,0.086342,0.810612,0.503673,0.469388,0.306939,0.785714,val_gen_auc_avg,0.762449,4.477358e-05
180,0.571604,0.309800,0.388099,0.163701,0.705403,0.629142,2.317531,0.800816,0.642857,0.730598,0.676471,0.088540,0.067006,0.800000,0.422041,0.568980,0.231020,0.728571,val_gen_auc_avg,0.800816,3.454915e-05
200,0.645067,0.131835,0.388074,0.016315,0.551455,0.624705,2.227147,0.772245,0.671429,0.706024,0.680672,0.086712,0.061862,0.826939,0.568163,0.433469,0.258776,0.771429,val_gen_auc_avg,0.772245,2.500000e-05
220,0.639424,0.130085,0.386364,0.007518,0.677960,0.624784,2.161866,0.784490,0.714286,0.700869,0.668067,0.074587,0.056583,0.840816,0.489796,0.466939,0.351020,0.771429,val_gen_auc_avg,0.784490,1.654347e-05
240,0.565945,0.441922,0.379928,0.221514,0.700682,0.595731,2.030555,0.755102,0.728571,0.674105,0.668067,0.071460,0.050111,0.836735,0.512653,0.419592,0.324082,0.757143,val_gen_auc_avg,0.755102,9.549150e-06
260,0.649027,0.112607,0.373293,0.005747,0.647807,0.693298,1.969043,0.800816,0.714286,0.703729,0.668067,0.063171,0.048688,0.855510,0.544490,0.485714,0.311020,0.814286,val_gen_auc_avg,0.800816,4.322727e-06
280,0.615554,0.226015,0.364365,0.067729,0.633196,0.655672,1.896800,0.779592,0.728571,0.695784,0.668067,0.052011,0.047751,0.803265,0.579592,0.512653,0.223673,0.700000,val_gen_auc_avg,0.779592,1.092620e-06
300,0.654100,0.148517,0.364695,0.033634,0.677269,0.623167,1.847120,0.783673,0.728571,0.711320,0.659664,0.056911,0.051662,0.834286,0.446939,0.449796,0.384490,0.785714,val_gen_auc_avg,0.783673,0.000000e+00
