epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.600918,0.4375,0.7884,0.5000,0.5704,9.972609e-05
2,0.384449,0.4375,0.7690,0.5000,0.5156,9.890738e-05
3,0.263573,0.4375,0.8025,0.5000,0.5565,9.755283e-05
4,0.136840,0.4375,0.8131,0.5000,0.5677,9.567727e-05
5,0.047216,0.4375,0.8201,0.5000,0.5720,9.330127e-05
6,0.015320,0.4375,0.8519,0.5000,0.5759,9.045085e-05
7,0.003175,0.4375,0.8219,0.4958,0.5876,8.715724e-05
8,0.000991,0.4375,0.7954,0.5042,0.5942,8.345653e-05
9,0.000514,0.4375,0.7954,0.4958,0.5974,7.938926e-05
10,0.000366,0.4375,0.8025,0.5000,0.5904,7.500000e-05
11,0.000213,0.4167,0.7919,0.5210,0.5780,7.033683e-05
12,0.000297,0.4583,0.7831,0.5000,0.5827,6.545085e-05
13,0.000149,0.5833,0.7848,0.5588,0.5890,6.039558e-05
