epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.315782,1.705226,0.568605,0.689422,1.328749,1.319609,3.567820,0.589335,0.500000,0.524507,0.500000,0.042294,0.036803,0.563539,0.477666,0.527181,0.036357,0.500000,val_gen_auc_avg,0.589335,9.999726e-05
20,0.837610,0.539613,0.377030,0.643555,0.844350,0.804558,3.268483,0.543109,0.500000,0.577817,0.500000,0.067405,0.056890,0.499307,0.460699,0.563712,-0.064404,0.486842,val_gen_auc_avg,0.543109,9.890738e-05
40,0.696026,0.439606,0.355296,0.473381,0.661676,0.614912,2.803452,0.523026,0.500000,0.521567,0.500000,0.075056,0.074652,0.487361,0.474896,0.464508,0.012465,0.467105,val_gen_auc_avg,0.523026,9.567727e-05
60,0.659158,0.286208,0.333586,0.429073,0.779104,0.738867,2.478828,0.534799,0.500000,0.662615,0.500000,0.090975,0.072403,0.541205,0.495845,0.526489,0.014716,0.480263,val_gen_auc_avg,0.534799,9.045085e-05
80,0.605092,0.254545,0.300441,0.257992,0.650501,0.667729,2.197123,0.532202,0.500000,0.784668,0.503759,0.149483,0.091512,0.525450,0.361150,0.499654,0.025796,0.526316,val_gen_auc_avg,0.532202,8.345653e-05
100,0.596960,0.131645,0.302156,0.135550,0.711146,0.687223,1.920725,0.581544,0.506579,0.824411,0.515038,0.201347,0.089095,0.436461,0.507964,0.584834,-0.148373,0.467105,val_gen_auc_avg,0.581544,7.500000e-05
120,0.664082,0.147449,0.287541,0.145379,0.605344,0.619434,1.725157,0.553151,0.506579,0.859404,0.582707,0.219176,0.109354,0.520602,0.454467,0.497057,0.023546,0.493421,val_gen_auc_avg,0.553151,6.545085e-05
140,0.614407,0.096213,0.281761,0.081122,0.625083,0.606208,1.628163,0.554363,0.532895,0.850189,0.669173,0.221679,0.113207,0.568733,0.498961,0.526489,0.042244,0.565789,val_gen_auc_avg,0.554363,5.522642e-05
160,0.590817,0.133792,0.290065,0.104860,0.639171,0.591280,1.508478,0.558345,0.565789,0.840296,0.721805,0.203116,0.115722,0.538781,0.425727,0.502251,0.036530,0.552632,val_gen_auc_avg,0.558345,4.477358e-05
180,0.557550,0.187662,0.267949,0.234027,0.533614,0.600040,1.387761,0.589855,0.565789,0.855447,0.763158,0.187843,0.107681,0.600242,0.485111,0.446849,0.115132,0.559211,val_gen_auc_avg,0.589855,3.454915e-05
200,0.589159,0.096170,0.255269,0.095303,0.570469,0.609222,1.339539,0.582410,0.611842,0.856125,0.774436,0.171290,0.099181,0.521295,0.438193,0.505886,0.015409,0.453947,val_gen_auc_avg,0.582410,2.500000e-05
220,0.584537,0.081294,0.263883,0.038869,0.638499,0.565086,1.324368,0.551939,0.572368,0.856182,0.774436,0.161063,0.099622,0.605956,0.495845,0.418802,0.110111,0.559211,val_gen_auc_avg,0.551939,1.654347e-05
240,0.555550,0.088476,0.263799,0.042616,0.584648,0.522973,1.262726,0.601627,0.572368,0.869919,0.774436,0.147720,0.097016,0.585180,0.417763,0.437673,0.147507,0.592105,val_gen_auc_avg,0.601627,9.549150e-06
260,0.609140,0.082200,0.254691,0.046680,0.642160,0.588993,1.250857,0.561461,0.546053,0.871502,0.796992,0.169889,0.102632,0.564578,0.512465,0.470741,0.052112,0.559211,val_gen_auc_avg,0.561461,4.322727e-06
280,0.609417,0.080316,0.261696,0.042673,0.687559,0.611080,1.208447,0.505194,0.546053,0.871050,0.804511,0.154396,0.112933,0.523892,0.465028,0.533414,-0.009522,0.513158,val_gen_auc_avg,0.505194,1.092620e-06
