epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.665687,0.5932,0.5303,0.4925,0.3065,9.972609e-05
2,0.448684,0.5593,0.5455,0.5000,0.5110,9.890738e-05
3,0.245033,0.5593,0.5734,0.5000,0.5589,9.755283e-05
4,0.104500,0.5593,0.6399,0.5150,0.7325,9.567727e-05
5,0.025909,0.6441,0.6469,0.6391,0.7632,9.330127e-05
6,0.006071,0.5424,0.6434,0.7030,0.7736,9.045085e-05
7,0.001773,0.5254,0.6084,0.7368,0.8130,8.715724e-05
8,0.000788,0.5932,0.6107,0.7481,0.8417,8.345653e-05
9,0.000409,0.5763,0.5944,0.7519,0.8582,7.938926e-05
10,0.000256,0.5593,0.5886,0.7932,0.8784,7.500000e-05
11,0.000370,0.5932,0.6072,0.8271,0.8890,7.033683e-05
12,0.000185,0.6102,0.6305,0.8008,0.8914,6.545085e-05
