epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.611965,1.782538,0.650277,0.711301,1.602469,1.614054,4.313187,0.586939,0.500000,0.518466,0.500000,0.080755,0.098907,0.588571,0.414694,0.636735,-0.048163,0.514286,val_gen_auc_avg,0.586939,9.999726e-05
20,1.098581,0.606298,0.512258,0.458041,1.138018,1.208341,4.088366,0.554286,0.500000,0.496434,0.500000,0.190340,0.183609,0.678367,0.515102,0.368980,0.163265,0.585714,val_gen_auc_avg,0.554286,9.890738e-05
40,0.873602,0.502131,0.465051,0.308513,0.910108,0.910843,3.965692,0.579592,0.557143,0.665348,0.596639,0.242081,0.224837,0.586122,0.482449,0.561633,0.024490,0.585714,val_gen_auc_avg,0.579592,9.567727e-05
60,0.788127,0.257682,0.448066,0.127220,0.886944,0.800341,3.420444,0.666122,0.557143,0.674105,0.638655,0.196398,0.230017,0.501224,0.714286,0.543673,-0.213061,0.571429,val_gen_auc_avg,0.666122,9.045085e-05
80,0.714506,0.242076,0.467480,0.177015,0.692932,0.739605,3.074275,0.761633,0.585714,0.706447,0.659664,0.153161,0.213226,0.677551,0.422857,0.587755,0.089796,0.600000,val_gen_auc_avg,0.761633,8.345653e-05
100,0.693341,0.206888,0.392134,0.099355,0.763224,0.725307,3.008585,0.778776,0.585714,0.696561,0.697479,0.137207,0.190562,0.673469,0.406531,0.457143,0.216327,0.600000,val_gen_auc_avg,0.778776,7.500000e-05
120,0.699193,0.159845,0.390972,0.029489,0.610109,0.755143,2.810772,0.819592,0.628571,0.755667,0.680672,0.121609,0.159367,0.742857,0.453061,0.488163,0.254694,0.671429,val_gen_auc_avg,0.819592,6.545085e-05
140,0.550157,0.387883,0.420930,0.295634,0.727507,0.617386,2.690602,0.834286,0.642857,0.707860,0.672269,0.126357,0.134506,0.714286,0.423673,0.613061,0.101224,0.700000,val_gen_auc_avg,0.834286,5.522642e-05
160,0.657137,0.173588,0.404752,0.133165,0.613755,0.669195,2.465729,0.818776,0.671429,0.711461,0.655462,0.130161,0.097278,0.728980,0.424490,0.458776,0.270204,0.685714,val_gen_auc_avg,0.818776,4.477358e-05
180,0.604127,0.205232,0.368373,0.046841,0.552373,0.691126,2.291251,0.817143,0.728571,0.723890,0.634454,0.102937,0.073370,0.846531,0.514286,0.491429,0.332245,0.785714,val_gen_auc_avg,0.817143,3.454915e-05
200,0.649413,0.126681,0.345667,0.041544,0.721164,0.644449,2.136400,0.831837,0.700000,0.730739,0.621849,0.090487,0.065882,0.826939,0.480000,0.599184,0.227755,0.728571,val_gen_auc_avg,0.831837,2.500000e-05
220,0.631351,0.120065,0.340009,0.016645,0.742703,0.673634,1.981050,0.789388,0.742857,0.711673,0.609244,0.081268,0.057595,0.775510,0.500408,0.506122,0.269388,0.728571,val_gen_auc_avg,0.789388,1.654347e-05
240,0.663420,0.110768,0.345955,0.013983,0.826957,0.692973,1.849521,0.825306,0.771429,0.739001,0.600840,0.061910,0.050474,0.787755,0.479184,0.478367,0.308571,0.714286,val_gen_auc_avg,0.825306,9.549150e-06
260,0.629246,0.121452,0.336323,0.030424,0.573318,0.727220,1.751513,0.810612,0.785714,0.712026,0.609244,0.068027,0.048106,0.811429,0.404898,0.498776,0.312653,0.728571,val_gen_auc_avg,0.810612,4.322727e-06
280,0.665709,0.117869,0.343920,0.064652,0.852607,0.636275,1.658487,0.831020,0.785714,0.727985,0.605042,0.043726,0.040792,0.846531,0.533878,0.525714,0.312653,0.757143,val_gen_auc_avg,0.831020,1.092620e-06
300,0.645719,0.132073,0.338874,0.055221,0.689936,0.679231,1.684057,0.789388,0.785714,0.716404,0.600840,0.046234,0.040046,0.760000,0.389388,0.550204,0.209796,0.700000,val_gen_auc_avg,0.789388,0.000000e+00
