epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.453354,1.559855,0.683510,0.780760,1.575192,1.552495,3.818953,0.475918,0.471429,0.481251,0.474790,0.206181,0.201500,0.487347,0.505306,0.456327,-0.017959,0.542857,val_gen_auc_avg,0.475918,9.999726e-05
20,1.257291,0.822123,0.509497,0.418060,1.207439,1.352230,3.478830,0.548571,0.514286,0.532095,0.529412,0.215901,0.218081,0.657959,0.484898,0.367347,0.173061,0.614286,val_gen_auc_avg,0.548571,9.890738e-05
40,1.011061,0.676543,0.451436,0.447014,1.034385,1.115073,3.011754,0.465306,0.528571,0.532660,0.491597,0.213798,0.210383,0.480000,0.484082,0.490612,-0.010612,0.514286,val_gen_auc_avg,0.465306,9.567727e-05
60,0.814614,0.264978,0.437742,0.157566,0.886440,0.921199,2.866950,0.568163,0.485714,0.603700,0.512605,0.173135,0.213899,0.499592,0.514286,0.475918,-0.014694,0.471429,val_gen_auc_avg,0.568163,9.045085e-05
80,0.810242,0.159610,0.443103,0.052977,0.809242,0.861563,2.710616,0.669388,0.585714,0.736459,0.634454,0.191943,0.240802,0.506939,0.456327,0.520000,-0.013061,0.528571,val_gen_auc_avg,0.669388,8.345653e-05
100,0.761705,0.220563,0.437405,0.076997,0.859494,0.772462,2.630401,0.724082,0.614286,0.709131,0.672269,0.167082,0.187671,0.676735,0.660408,0.464490,0.016327,0.600000,val_gen_auc_avg,0.724082,7.500000e-05
120,0.718679,0.191593,0.409155,0.064522,0.762943,0.750496,2.539773,0.790204,0.657143,0.700516,0.693277,0.156760,0.160944,0.555102,0.461224,0.609796,-0.054694,0.628571,val_gen_auc_avg,0.790204,6.545085e-05
140,0.679534,0.186033,0.408959,0.094555,0.677197,0.705998,2.483458,0.725714,0.685714,0.714709,0.680672,0.114799,0.117981,0.746939,0.528163,0.465306,0.218776,0.657143,val_gen_auc_avg,0.725714,5.522642e-05
160,0.692172,0.159622,0.398142,0.048730,0.608866,0.661050,2.401635,0.751837,0.685714,0.724384,0.680672,0.107202,0.102881,0.685714,0.517551,0.473469,0.168163,0.657143,val_gen_auc_avg,0.751837,4.477358e-05
180,0.574403,0.328028,0.413382,0.160162,0.697137,0.626468,2.362418,0.800000,0.742857,0.715274,0.680672,0.079383,0.081298,0.752653,0.565714,0.524082,0.186939,0.685714,val_gen_auc_avg,0.800000,3.454915e-05
200,0.669668,0.167604,0.374248,0.023177,0.569171,0.645119,2.284281,0.779592,0.728571,0.688723,0.680672,0.072155,0.082631,0.764082,0.549388,0.519184,0.214694,0.742857,val_gen_auc_avg,0.779592,2.500000e-05
220,0.632623,0.166285,0.376186,0.024779,0.632780,0.633090,2.214571,0.780408,0.742857,0.693595,0.659664,0.059953,0.093579,0.812245,0.509388,0.519184,0.293061,0.757143,val_gen_auc_avg,0.780408,1.654347e-05
240,0.556790,0.318106,0.383890,0.159262,0.660637,0.597802,2.157855,0.827755,0.757143,0.687805,0.676471,0.096337,0.096353,0.742857,0.479184,0.457143,0.263673,0.714286,val_gen_auc_avg,0.827755,9.549150e-06
260,0.640918,0.110812,0.374885,0.007764,0.612684,0.684491,2.114888,0.771429,0.742857,0.718735,0.684874,0.076289,0.102161,0.791837,0.565714,0.503673,0.226122,0.714286,val_gen_auc_avg,0.771429,4.322727e-06
280,0.605499,0.138108,0.373661,0.044466,0.607504,0.657660,2.034937,0.739592,0.757143,0.686322,0.668067,0.092744,0.101437,0.695510,0.544490,0.533061,0.151020,0.714286,val_gen_auc_avg,0.739592,1.092620e-06
300,0.641666,0.109933,0.373122,0.030116,0.644768,0.620226,1.983781,0.784490,0.742857,0.689570,0.684874,0.068422,0.108155,0.744490,0.633469,0.404898,0.111020,0.728571,val_gen_auc_avg,0.784490,0.000000e+00
