epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.464591,1.822264,0.647880,0.706516,1.500048,1.498975,4.572606,0.452245,0.485714,0.558294,0.500000,0.130828,0.117257,0.457959,0.320000,0.520816,-0.062857,0.471429,val_gen_auc_avg,0.452245,9.999726e-05
20,1.209365,0.721229,0.517976,0.474515,1.237055,1.323705,4.268017,0.484082,0.557143,0.536756,0.508403,0.210702,0.200676,0.506122,0.337959,0.551020,-0.044898,0.528571,val_gen_auc_avg,0.484082,9.890738e-05
40,1.009993,0.584761,0.492030,0.412638,1.209297,1.064646,3.660363,0.493061,0.500000,0.598545,0.533613,0.179689,0.203163,0.477551,0.336327,0.461224,0.016327,0.500000,val_gen_auc_avg,0.493061,9.567727e-05
60,0.995260,0.358202,0.473839,0.272215,1.162983,1.037726,3.432633,0.537143,0.500000,0.649954,0.525210,0.145387,0.189361,0.605714,0.539592,0.469388,0.066122,0.528571,val_gen_auc_avg,0.537143,9.045085e-05
80,0.910238,0.581401,0.435869,0.357986,0.986981,1.035070,3.266442,0.621224,0.542857,0.694089,0.596639,0.179781,0.209296,0.665306,0.395102,0.441633,0.223673,0.600000,val_gen_auc_avg,0.621224,8.345653e-05
100,0.774544,0.234016,0.445483,0.093140,0.913303,0.797570,3.171418,0.657959,0.557143,0.716687,0.701681,0.209905,0.217283,0.700408,0.564082,0.470204,0.136327,0.671429,val_gen_auc_avg,0.657959,7.500000e-05
120,0.783687,0.156675,0.445723,0.091667,0.758621,0.837938,3.131203,0.677551,0.657143,0.697338,0.684874,0.218522,0.194447,0.681633,0.520000,0.533061,0.148571,0.557143,val_gen_auc_avg,0.677551,6.545085e-05
140,0.692223,0.541625,0.445276,0.378182,0.902532,0.750276,3.076658,0.700408,0.685714,0.735259,0.680672,0.217281,0.151458,0.665306,0.531429,0.480816,0.133878,0.557143,val_gen_auc_avg,0.700408,5.522642e-05
160,0.692588,0.368517,0.420286,0.160526,0.703280,0.721870,3.092380,0.742041,0.700000,0.742815,0.684874,0.204521,0.121120,0.734694,0.475918,0.507755,0.226939,0.671429,val_gen_auc_avg,0.742041,4.477358e-05
180,0.655899,0.171676,0.420318,0.061774,0.637464,0.710361,2.891835,0.764082,0.685714,0.714921,0.659664,0.190791,0.099402,0.693061,0.542041,0.454694,0.151020,0.614286,val_gen_auc_avg,0.764082,3.454915e-05
200,0.703525,0.150306,0.411261,0.030921,0.763103,0.700156,2.972142,0.743673,0.671429,0.734553,0.676471,0.179681,0.091180,0.570612,0.515510,0.586122,-0.015510,0.528571,val_gen_auc_avg,0.743673,2.500000e-05
220,0.668830,0.115228,0.406190,0.046558,0.784476,0.693024,2.821919,0.768163,0.671429,0.729609,0.676471,0.166060,0.085857,0.706122,0.537143,0.519184,0.168980,0.614286,val_gen_auc_avg,0.768163,1.654347e-05
240,0.680888,0.126089,0.402263,0.030923,0.797361,0.691428,2.879573,0.724898,0.714286,0.738225,0.684874,0.162039,0.077762,0.646531,0.421224,0.493878,0.152653,0.528571,val_gen_auc_avg,0.724898,9.549150e-06
260,0.653604,0.204491,0.393541,0.059158,0.613660,0.723826,2.791709,0.672653,0.700000,0.745781,0.693277,0.160869,0.073005,0.679184,0.504490,0.550204,0.128980,0.528571,val_gen_auc_avg,0.672653,4.322727e-06
280,0.667562,0.187608,0.383420,0.063925,0.815865,0.642669,2.680161,0.751020,0.714286,0.711532,0.705882,0.146721,0.075811,0.690612,0.582041,0.557551,0.108571,0.628571,val_gen_auc_avg,0.751020,1.092620e-06
300,0.644117,0.202960,0.382673,0.067568,0.698860,0.666515,2.564221,0.738776,0.685714,0.734976,0.689076,0.148120,0.082836,0.681633,0.390204,0.530612,0.151020,0.642857,val_gen_auc_avg,0.738776,0.000000e+00
