run_name	region	fold	horizon_idx	seed	status	elapsed_s	final_test_auc	final_test_acc	final_val_auc	final_val_acc	test_gen_auc_avg	test_gen_acc_avg	val_gen_auc_avg	val_gen_acc_avg	val_condition_gap_auc	best_score	cfg_json
anchor_vpm__s0__h2	VPM	M710	2	0	ok	853.4000	0.7101	0.6555	0.7910	0.6143	0.6875	0.6387	0.7608	0.6429	0.0408	0.7608	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s1__h2	VPM	M710	2	1	ok	859.5000	0.7170	0.5924	0.7371	0.7000	0.6662	0.5882	0.8171	0.7143	0.2171	0.8171	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s2__h2	VPM	M710	2	2	ok	849.2000	0.7519	0.6807	0.6547	0.6429	0.7270	0.6765	0.8237	0.6714	-0.0098	0.8237	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s3__h2	VPM	M710	2	3	ok	852.8000	0.7434	0.6681	0.7657	0.7143	0.7218	0.6723	0.8416	0.7143	0.2996	0.8416	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s4__h2	VPM	M710	2	4	ok	840.2000	0.7497	0.6975	0.7069	0.6571	0.7511	0.6555	0.7739	0.6857	0.2041	0.7739	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s0__h3	VPM	M710	3	0	ok	834.6000	0.7169	0.6008	0.7673	0.7571	0.7101	0.5924	0.8139	0.7571	0.2718	0.8139	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s1__h3	VPM	M710	3	1	ok	831.2000	0.7081	0.6429	0.8106	0.6857	0.6863	0.6429	0.8098	0.7143	0.1445	0.8098	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s2__h3	VPM	M710	3	2	ok	836.0000	0.6782	0.5252	0.7967	0.7000	0.6259	0.5168	0.7812	0.7000	0.2155	0.7812	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s3__h3	VPM	M710	3	3	ok	829.7000	0.6826	0.6218	0.7788	0.6143	0.6883	0.6303	0.7820	0.6286	0.1094	0.7820	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s4__h3	VPM	M710	3	4	ok	828.6000	0.7070	0.6471	0.8016	0.6571	0.6752	0.6134	0.7535	0.6429	-0.0220	0.7535	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
