region	fold	horizon_idx	run_kind	run_name	seed	diffusion_modality	n_seeds_in_ensemble	n_samples_per_seed	n_total_generated_per_event	n_test	n_test_pos	n_test_neg	test_auc	test_auc_ci_lo	test_auc_ci_hi	test_acc	test_acc_ci_lo	test_acc_ci_hi	test_balanced_acc	val_auc	val_acc	preictal_test_auc	preictal_test_acc	preictal_mm_eeg_emg_test_auc	preictal_mm_eeg_emg_test_acc	preictal_mm_eeg_photo_test_auc	preictal_mm_eeg_photo_test_acc	preictal_mm_eeg_emg_photo_test_auc	preictal_mm_eeg_emg_photo_test_acc	target_test_auc	target_test_acc	best_score	best_select_by	val_holdout_mouse	run_dir
VPM	M710	0	single_ckpt	anchor_vpm__s3__h0	3	eeg_emg_photo	1	16	16	238	119	119	0.7460	0.6833	0.8069	0.6303	0.5672	0.6892	0.6303	0.9151	0.8000	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s3__h0
VPM	M710	0	single_ckpt	anchor_vpm__s4__h0	4	eeg_emg_photo	1	16	16	238	119	119	0.7526	0.6883	0.8156	0.7311	0.6723	0.7815	0.7311	0.8604	0.7286	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s4__h0
VPM	M710	1	ensemble	ensemble_5seed		eeg	5	16	80	238	119	119	0.7642	0.7028	0.8238	0.7353	0.6807	0.7899	0.7353	0.8155	0.7143	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_1\eeg
VPM	M710	1	single_ckpt	anchor_eeg__s0__h1	0	eeg	1	16	16	238	119	119	0.7438	0.6792	0.8072	0.7143	0.6555	0.7689	0.7143	0.7878	0.6571	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s0__h1
VPM	M710	1	single_ckpt	anchor_eeg__s1__h1	1	eeg	1	16	16	238	119	119	0.7517	0.6874	0.8117	0.7227	0.6639	0.7773	0.7227	0.8294	0.7000	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s1__h1
VPM	M710	1	single_ckpt	anchor_eeg__s2__h1	2	eeg	1	16	16	238	119	119	0.7558	0.6942	0.8143	0.7185	0.6597	0.7731	0.7185	0.7624	0.7000	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s2__h1
VPM	M710	1	single_ckpt	anchor_eeg__s3__h1	3	eeg	1	16	16	238	119	119	0.7718	0.7108	0.8296	0.7479	0.6933	0.8025	0.7479	0.7910	0.7143	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s3__h1
VPM	M710	1	single_ckpt	anchor_eeg__s4__h1	4	eeg	1	16	16	238	119	119	0.7371	0.6720	0.7995	0.7311	0.6765	0.7815	0.7311	0.7943	0.6143	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s4__h1
VPM	M710	1	ensemble	ensemble_5seed		eeg_emg_photo	5	16	80	238	119	119	0.7295	0.6662	0.7917	0.6681	0.6050	0.7311	0.6681	0.8784	0.7429	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_1\eeg_emg_photo
VPM	M710	1	single_ckpt	anchor_vpm__s0__h1	0	eeg_emg_photo	1	16	16	238	119	119	0.7360	0.6704	0.7998	0.6387	0.5756	0.6933	0.6387	0.8196	0.7000	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s0__h1
