epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.316026,1.793312,0.635278,0.688504,1.391829,1.374170,3.731609,0.363265,0.485714,0.448838,0.504202,0.133458,0.133056,0.447347,0.546122,0.546122,-0.098776,0.485714,val_gen_auc_avg,0.363265,9.999726e-05
20,1.029025,0.585970,0.477177,0.469614,1.032589,1.021125,3.579742,0.599184,0.585714,0.485276,0.487395,0.226730,0.226163,0.510204,0.520816,0.513469,-0.010612,0.514286,val_gen_auc_avg,0.599184,9.890738e-05
40,0.827672,0.640918,0.458408,0.402705,1.062346,0.967157,3.362766,0.589388,0.542857,0.487960,0.504202,0.233424,0.211754,0.515102,0.505306,0.512653,0.002449,0.542857,val_gen_auc_avg,0.589388,9.567727e-05
60,0.724663,0.313560,0.439568,0.236794,0.712447,0.789936,3.061151,0.484082,0.528571,0.633500,0.533613,0.210667,0.222677,0.471020,0.608163,0.484082,-0.137143,0.485714,val_gen_auc_avg,0.484082,9.045085e-05
80,0.759786,0.338630,0.453134,0.260908,0.769633,0.796081,2.768865,0.569796,0.542857,0.656098,0.600840,0.216733,0.229178,0.515918,0.577143,0.618776,-0.102857,0.471429,val_gen_auc_avg,0.569796,8.345653e-05
100,0.715402,0.191207,0.434522,0.110092,0.891641,0.790669,2.671609,0.604898,0.600000,0.708778,0.680672,0.222037,0.196065,0.469388,0.475918,0.453878,-0.006531,0.485714,val_gen_auc_avg,0.604898,7.500000e-05
120,0.688704,0.152627,0.418807,0.095778,0.758760,0.709578,2.594841,0.790204,0.657143,0.741897,0.718487,0.179345,0.165915,0.646531,0.346122,0.342857,0.300408,0.614286,val_gen_auc_avg,0.790204,6.545085e-05
140,0.639878,0.138314,0.392347,0.049813,0.680827,0.650778,2.423395,0.684898,0.642857,0.724313,0.710084,0.156665,0.120200,0.785306,0.527347,0.554286,0.231020,0.642857,val_gen_auc_avg,0.684898,5.522642e-05
160,0.708952,0.121768,0.389216,0.027569,0.614480,0.712639,2.377694,0.779592,0.728571,0.755031,0.693277,0.180178,0.117538,0.722449,0.353469,0.523265,0.199184,0.671429,val_gen_auc_avg,0.779592,4.477358e-05
180,0.586571,0.170449,0.378804,0.048765,0.662905,0.651952,2.307448,0.760000,0.728571,0.756161,0.705882,0.154495,0.114277,0.689796,0.498776,0.511020,0.178776,0.671429,val_gen_auc_avg,0.760000,3.454915e-05
200,0.570403,0.472755,0.387365,0.317462,0.690827,0.630528,2.235203,0.809796,0.742857,0.749523,0.689076,0.126141,0.114117,0.845714,0.404082,0.362449,0.441633,0.728571,val_gen_auc_avg,0.809796,2.500000e-05
220,0.607524,0.211547,0.377241,0.077853,0.624264,0.628616,2.029295,0.813878,0.728571,0.767319,0.705882,0.119644,0.106640,0.706122,0.578776,0.485714,0.127347,0.742857,val_gen_auc_avg,0.813878,1.654347e-05
240,0.613545,0.134081,0.358832,0.016641,0.714356,0.636716,2.017127,0.704490,0.757143,0.741261,0.705882,0.079244,0.088040,0.670204,0.459592,0.445714,0.210612,0.685714,val_gen_auc_avg,0.704490,9.549150e-06
260,0.664768,0.154160,0.357568,0.046700,0.602650,0.600281,1.914153,0.825306,0.757143,0.710049,0.680672,0.078293,0.084455,0.833469,0.471837,0.386939,0.361633,0.728571,val_gen_auc_avg,0.825306,4.322727e-06
280,0.636482,0.124526,0.352902,0.026834,0.663730,0.658035,1.876135,0.755102,0.742857,0.739778,0.705882,0.068399,0.079438,0.734694,0.546122,0.397551,0.188571,0.700000,val_gen_auc_avg,0.755102,1.092620e-06
300,0.620175,0.137946,0.364138,0.027189,0.651479,0.649659,1.790678,0.745306,0.728571,0.721418,0.701681,0.062117,0.070014,0.766531,0.394286,0.453878,0.312653,0.728571,val_gen_auc_avg,0.745306,0.000000e+00
