epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,2.178073,1.637394,0.684681,0.733589,2.123123,2.085110,4.409793,0.531429,0.557143,0.538663,0.512605,0.234055,0.231741,0.491429,0.626939,0.473469,-0.135510,0.514286,val_gen_auc_avg,0.531429,9.999726e-05
20,1.200077,0.650178,0.513934,0.443844,1.175145,1.220025,4.145917,0.432653,0.442857,0.496716,0.487395,0.213005,0.229297,0.511837,0.622857,0.473469,-0.111020,0.528571,val_gen_auc_avg,0.432653,9.890738e-05
40,0.928554,0.519732,0.454638,0.321393,0.959644,1.019769,3.497244,0.551837,0.542857,0.553139,0.542017,0.240640,0.240686,0.601633,0.566531,0.480816,0.035102,0.585714,val_gen_auc_avg,0.551837,9.567727e-05
60,0.815571,0.450198,0.458977,0.308129,0.707094,0.870835,3.012965,0.711837,0.600000,0.647765,0.621849,0.229495,0.216613,0.454694,0.409796,0.571429,-0.116735,0.400000,val_gen_auc_avg,0.711837,9.045085e-05
80,0.751809,0.338367,0.430124,0.191559,0.770049,0.805732,2.796144,0.910204,0.685714,0.691618,0.655462,0.206327,0.202945,0.692245,0.494694,0.561633,0.130612,0.628571,val_gen_auc_avg,0.910204,8.345653e-05
100,0.770576,0.161243,0.413248,0.033353,0.794336,0.695042,2.684203,0.785306,0.600000,0.704329,0.655462,0.202128,0.155806,0.724898,0.608980,0.573878,0.115918,0.742857,val_gen_auc_avg,0.785306,7.500000e-05
120,0.662970,0.127892,0.414835,0.065310,0.639621,0.704282,2.613364,0.620408,0.614286,0.706518,0.672269,0.187606,0.150581,0.697143,0.360000,0.444082,0.253061,0.642857,val_gen_auc_avg,0.620408,6.545085e-05
140,0.646689,0.146130,0.396155,0.050960,0.737247,0.623151,2.582929,0.666939,0.642857,0.710684,0.655462,0.167631,0.136519,0.711020,0.461224,0.579592,0.131429,0.657143,val_gen_auc_avg,0.666939,5.522642e-05
160,0.633252,0.338739,0.425503,0.393019,0.709741,0.724098,2.530186,0.657959,0.642857,0.690559,0.651261,0.185667,0.121954,0.792653,0.488980,0.507755,0.284898,0.742857,val_gen_auc_avg,0.657959,4.477358e-05
180,0.614739,0.308818,0.400730,0.140984,0.521798,0.659861,2.494250,0.675918,0.700000,0.678201,0.634454,0.155954,0.109182,0.766531,0.543673,0.419592,0.222857,0.728571,val_gen_auc_avg,0.675918,3.454915e-05
200,0.656640,0.099314,0.363689,0.017213,0.634237,0.656815,2.371935,0.766531,0.700000,0.707012,0.613445,0.148910,0.094124,0.778776,0.595102,0.487347,0.183673,0.714286,val_gen_auc_avg,0.766531,2.500000e-05
220,0.614123,0.348492,0.381389,0.180534,0.538103,0.705309,2.291540,0.677551,0.742857,0.675023,0.588235,0.148473,0.094122,0.689796,0.494286,0.509388,0.180408,0.628571,val_gen_auc_avg,0.677551,1.654347e-05
240,0.629710,0.103445,0.365742,0.007808,0.776559,0.674202,2.267415,0.755102,0.700000,0.683003,0.592437,0.160593,0.078703,0.772245,0.569796,0.441633,0.202449,0.671429,val_gen_auc_avg,0.755102,9.549150e-06
260,0.551542,0.270273,0.384206,0.120710,0.663085,0.658101,2.199736,0.817143,0.685714,0.692112,0.600840,0.135301,0.081516,0.815510,0.466939,0.428571,0.348571,0.728571,val_gen_auc_avg,0.817143,4.322727e-06
280,0.568464,0.213285,0.381701,0.095254,0.545785,0.658360,2.121750,0.835918,0.728571,0.690276,0.605042,0.129881,0.070473,0.734694,0.554286,0.357551,0.180408,0.685714,val_gen_auc_avg,0.835918,1.092620e-06
300,0.578854,0.154357,0.369485,0.055341,0.706298,0.635577,2.056215,0.818776,0.714286,0.671068,0.605042,0.158884,0.069635,0.742041,0.457143,0.497143,0.244898,0.685714,val_gen_auc_avg,0.818776,0.000000e+00
